Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.2,0.1,5
Vertical Position,-3.08,-1.58,-0.7,-0.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.0752812,0.0610938,0.00490625,-0.261719
-4.9990e-05,0.0746641,0.0616875,0.0074375,-0.217969
-4.9980e-05,0.0749453,0.0609062,0.0061875,-0.246875
-4.9970e-05,0.0734687,0.06225,0.00640625,-0.261719
-4.9960e-05,0.0755312,0.0640938,0.00779688,-0.25625
-4.9950e-05,0.0752891,0.0622813,0.00675,-0.221875
-4.9940e-05,0.0757656,0.0649375,0.00685938,-0.211719
-4.9930e-05,0.0744375,0.0619375,0.006375,-0.228125
-4.9920e-05,0.0755312,0.061625,0.007375,-0.299219
-4.9910e-05,0.0757188,0.0625938,0.007875,-0.246875
-4.9900e-05,0.0752031,0.0628125,0.0071875,-0.210938
-4.9890e-05,0.0751641,0.0635312,0.00657813,-0.246094
-4.9880e-05,0.0748359,0.0619062,0.00757813,-0.24375
-4.9870e-05,0.0758281,0.062875,0.00773438,-0.297656
-4.9860e-05,0.0755469,0.061875,0.00601563,-0.196875
-4.9850e-05,0.0740156,0.0623125,0.00567188,-0.26875
-4.9840e-05,0.0751406,0.0644375,0.00657813,-0.232812
-4.9830e-05,0.0751094,0.0637813,0.00764063,-0.214844
-4.9820e-05,0.0751953,0.0627187,0.00709375,-0.240625
-4.9810e-05,0.075375,0.062,0.00710938,-0.267187
-4.9800e-05,0.0743047,0.0617813,0.00665625,-0.285937
-4.9790e-05,0.0758359,0.0620938,0.00645313,-0.225781
-4.9780e-05,0.07625,0.0609062,0.00754688,-0.214062
-4.9770e-05,0.0745938,0.0635,0.00571875,-0.260937
-4.9760e-05,0.0762109,0.0633125,0.00570313,-0.264844
-4.9750e-05,0.0750391,0.0615,0.00754688,-0.235156
-4.9740e-05,0.0765078,0.0621563,0.00714063,-0.271875
-4.9730e-05,0.0748359,0.0610938,0.0055625,-0.261719
-4.9720e-05,0.0754219,0.0625,0.00689063,-0.265625
-4.9710e-05,0.0755859,0.0625938,0.0070625,-0.247656
-4.9700e-05,0.0750078,0.0625625,0.00640625,-0.2625
-4.9690e-05,0.0762734,0.0632187,0.00653125,-0.280469
-4.9680e-05,0.074625,0.062375,0.00667188,-0.2625
-4.9670e-05,0.0754297,0.0605625,0.00745313,-0.203125
-4.9660e-05,0.075625,0.0633437,0.00779688,-0.239062
-4.9650e-05,0.0753438,0.06325,0.00603125,-0.270312
-4.9640e-05,0.0744688,0.0617813,0.00851563,-0.24375
-4.9630e-05,0.0746094,0.0634375,0.00735938,-0.25625
-4.9620e-05,0.0750859,0.0621563,0.00759375,-0.213281
-4.9610e-05,0.0752188,0.0636875,0.0081875,-0.228125
-4.9600e-05,0.0736875,0.0626563,0.00565625,-0.179688
-4.9590e-05,0.0756719,0.06525,0.00610938,-0.254687
-4.9580e-05,0.0744766,0.062875,0.00704688,-0.284375
-4.9570e-05,0.0753516,0.0622813,0.0070625,-0.239844
-4.9560e-05,0.0738672,0.0614062,0.00792188,-0.258594
-4.9550e-05,0.0747812,0.0640625,0.00673438,-0.263281
-4.9540e-05,0.0764766,0.0624688,0.007125,-0.317187
-4.9530e-05,0.07475,0.063,0.00673438,-0.230469
-4.9520e-05,0.0769844,0.0621563,0.00734375,-0.20625
-4.9510e-05,0.0758438,0.0625938,0.00809375,-0.197656
-4.9500e-05,0.0762422,0.0641562,0.00723438,-0.260937
-4.9490e-05,0.0767422,0.0639375,0.007,-0.23125
-4.9480e-05,0.0758906,0.0620625,0.0060625,-0.245312
-4.9470e-05,0.0753672,0.0622187,0.00489063,-0.300781
-4.9460e-05,0.0750938,0.0622813,0.00596875,-0.192969
-4.9450e-05,0.0747656,0.0620625,0.00634375,-0.253906
-4.9440e-05,0.0742656,0.0625312,0.00584375,-0.261719
-4.9430e-05,0.0746016,0.0624062,0.00617188,-0.234375
-4.9420e-05,0.0742344,0.0622813,0.00679688,-0.222656
-4.9410e-05,0.0749453,0.0628437,0.00692188,-0.289844
-4.9400e-05,0.0742578,0.0641875,0.00675,-0.230469
-4.9390e-05,0.0739531,0.060875,0.00696875,-0.283594
-4.9380e-05,0.0742266,0.0632187,0.00710938,-0.275
-4.9370e-05,0.0755938,0.0607813,0.00798438,-0.273438
-4.9360e-05,0.0735625,0.061,0.00764063,-0.235937
-4.9350e-05,0.0748906,0.0634688,0.006875,-0.260937
-4.9340e-05,0.0749766,0.0638125,0.00678125,-0.317969
-4.9330e-05,0.0739844,0.0627813,0.00764063,-0.235937
-4.9320e-05,0.0762812,0.0624688,0.006375,-0.295312
-4.9310e-05,0.0747188,0.0632813,0.00604688,-0.217187
-4.9300e-05,0.0757656,0.0641562,0.00560937,-0.201562
-4.9290e-05,0.0749922,0.0640312,0.00657813,-0.19375
-4.9280e-05,0.0760547,0.0628437,0.00671875,-0.225
-4.9270e-05,0.0755234,0.06375,0.00651563,-0.194531
-4.9260e-05,0.0761172,0.0616563,0.00520313,-0.30625
-4.9250e-05,0.0764453,0.0628437,0.00734375,-0.236719
-4.9240e-05,0.0764922,0.0626875,0.00675,-0.241406
-4.9230e-05,0.0752734,0.061375,0.00654688,-0.211719
-4.9220e-05,0.0760781,0.0627813,0.00723438,-0.273438
-4.9210e-05,0.0743984,0.0614688,0.00590625,-0.294531
-4.9200e-05,0.0753516,0.063,0.00715625,-0.260937
-4.9190e-05,0.0751406,0.0608125,0.0063125,-0.285156
-4.9180e-05,0.0736953,0.0625312,0.0063125,-0.2625
-4.9170e-05,0.0756172,0.0608437,0.00573437,-0.235937
-4.9160e-05,0.0746172,0.0624688,0.00654688,-0.252344
-4.9150e-05,0.0746641,0.0624375,0.005875,-0.26875
-4.9140e-05,0.0736953,0.061375,0.00740625,-0.254687
-4.9130e-05,0.0749141,0.0629688,0.00578125,-0.258594
