Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.2,0.1,5
Vertical Position,-3.08,-1.58,-0.7,-0.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.0795781,0.0662812,0.00660938,-0.23125
-4.9990e-05,0.0803437,0.0656875,0.00760938,-0.296094
-4.9980e-05,0.0787031,0.066375,0.00567188,-0.2875
-4.9970e-05,0.0803437,0.0640938,0.00596875,-0.247656
-4.9960e-05,0.07925,0.0638437,0.005875,-0.284375
-4.9950e-05,0.0788359,0.0650938,0.00598438,-0.225
-4.9940e-05,0.0798594,0.0641875,0.006,-0.271094
-4.9930e-05,0.078625,0.0654688,0.00614063,-0.230469
-4.9920e-05,0.0797891,0.0659375,0.00626563,-0.220312
-4.9910e-05,0.079,0.0667812,0.0075625,-0.295312
-4.9900e-05,0.0794141,0.0668438,0.00646875,-0.26875
-4.9890e-05,0.0800156,0.0665938,0.00667188,-0.264062
-4.9880e-05,0.0801172,0.066875,0.006625,-0.234375
-4.9870e-05,0.0811562,0.0667812,0.00778125,-0.217187
-4.9860e-05,0.0795703,0.0673125,0.00684375,-0.292969
-4.9850e-05,0.0807266,0.0659688,0.0065625,-0.235156
-4.9840e-05,0.08075,0.0660938,0.00798438,-0.255469
-4.9830e-05,0.0804297,0.066875,0.00642188,-0.238281
-4.9820e-05,0.0811641,0.0664062,0.0063125,-0.308594
-4.9810e-05,0.0794062,0.0669375,0.00584375,-0.29375
-4.9800e-05,0.0809453,0.0653125,0.00615625,-0.264062
-4.9790e-05,0.0795078,0.0665,0.00703125,-0.267187
-4.9780e-05,0.0798672,0.0655938,0.0075625,-0.210156
-4.9770e-05,0.0801016,0.066875,0.007,-0.265625
-4.9760e-05,0.078875,0.0685625,0.0059375,-0.296875
-4.9750e-05,0.0802344,0.0672187,0.0079375,-0.185937
-4.9740e-05,0.0793516,0.0659688,0.006375,-0.303906
-4.9730e-05,0.0796172,0.06675,0.00678125,-0.251562
-4.9720e-05,0.0798203,0.066,0.00676563,-0.219531
-4.9710e-05,0.0782891,0.0665,0.00565625,-0.290625
-4.9700e-05,0.0803359,0.0665312,0.00698438,-0.251562
-4.9690e-05,0.0787109,0.0647187,0.00795313,-0.253125
-4.9680e-05,0.0793516,0.065875,0.00614063,-0.253906
-4.9670e-05,0.0801328,0.068,0.00653125,-0.252344
-4.9660e-05,0.078875,0.065875,0.00778125,-0.261719
-4.9650e-05,0.0793594,0.0661562,0.00692188,-0.234375
-4.9640e-05,0.0796016,0.0655,0.00634375,-0.249219
-4.9630e-05,0.0800937,0.0671875,0.00707813,-0.292187
-4.9620e-05,0.0806094,0.0669375,0.0075,-0.260156
-4.9610e-05,0.0794453,0.0657813,0.007375,-0.271875
-4.9600e-05,0.0804609,0.0642813,0.00576563,-0.224219
-4.9590e-05,0.0797109,0.066375,0.00621875,-0.283594
-4.9580e-05,0.0796875,0.06525,0.00739063,-0.259375
-4.9570e-05,0.0793203,0.06525,0.00667188,-0.236719
-4.9560e-05,0.0784922,0.0675938,0.00528125,-0.248437
-4.9550e-05,0.0798203,0.067,0.0073125,-0.274219
-4.9540e-05,0.0784453,0.0670312,0.00654688,-0.214062
-4.9530e-05,0.0788906,0.06525,0.00575,-0.317969
-4.9520e-05,0.0784297,0.0644062,0.00720313,-0.29375
-4.9510e-05,0.0788203,0.066625,0.00565625,-0.248437
-4.9500e-05,0.0800859,0.0668438,0.00782813,-0.232812
-4.9490e-05,0.0787656,0.0643437,0.00739063,-0.252344
-4.9480e-05,0.0797422,0.066,0.00670313,-0.29375
-4.9470e-05,0.0788828,0.0665625,0.00646875,-0.257812
-4.9460e-05,0.0799609,0.0655312,0.00739063,-0.261719
-4.9450e-05,0.0805859,0.0695312,0.00692188,-0.242969
-4.9440e-05,0.0799375,0.0659688,0.00589063,-0.19375
-4.9430e-05,0.0806953,0.0659688,0.0070625,-0.253906
-4.9420e-05,0.0801797,0.0673438,0.00684375,-0.257031
-4.9410e-05,0.0803281,0.06675,0.00690625,-0.2625
-4.9400e-05,0.0811406,0.0658437,0.00695313,-0.278906
-4.9390e-05,0.0801484,0.0675938,0.00645313,-0.263281
-4.9380e-05,0.0804297,0.0655625,0.00728125,-0.290625
-4.9370e-05,0.0809844,0.0669375,0.00651563,-0.255469
-4.9360e-05,0.0805,0.06675,0.00709375,-0.275781
-4.9350e-05,0.0807031,0.0655938,0.00742188,-0.210938
-4.9340e-05,0.0806953,0.064625,0.006625,-0.264844
-4.9330e-05,0.0813516,0.0658437,0.00671875,-0.253125
-4.9320e-05,0.0800547,0.0645312,0.00676563,-0.221094
-4.9310e-05,0.0800703,0.0679687,0.00671875,-0.244531
-4.9300e-05,0.0796328,0.0675625,0.00765625,-0.255469
-4.9290e-05,0.0800234,0.0652187,0.0075,-0.222656
-4.9280e-05,0.0796328,0.0659062,0.00664063,-0.244531
-4.9270e-05,0.0788437,0.06825,0.0075,-0.288281
-4.9260e-05,0.0799297,0.0673125,0.00689063,-0.230469
-4.9250e-05,0.0806484,0.0659062,0.00745313,-0.270312
-4.9240e-05,0.0796719,0.0670938,0.0080625,-0.217969
-4.9230e-05,0.0811016,0.0669063,0.0079375,-0.269531
-4.9220e-05,0.0802812,0.0665938,0.00742188,-0.214844
-4.9210e-05,0.0811797,0.0660312,0.00796875,-0.207031
-4.9200e-05,0.0812266,0.065375,0.00760938,-0.277344
-4.9190e-05,0.0815625,0.0669687,0.00675,-0.247656
-4.9180e-05,0.08175,0.06625,0.00584375,-0.233594
-4.9170e-05,0.0811406,0.0659062,0.007,-0.316406
-4.9160e-05,0.0813437,0.0670938,0.00698438,-0.273438
-4.9150e-05,0.0806484,0.0645,0.0068125,-0.249219
-4.9140e-05,0.0809062,0.0686875,0.00651563,-0.2375
-4.9130e-05,0.0804609,0.068125,0.00682813,-0.271875
