Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.2,0.1,5
Vertical Position,-3.08,-1.58,-0.7,-0.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.0787891,0.06425,0.00701563,-0.190625
-4.9990e-05,0.080125,0.0654375,0.0074375,-0.273438
-4.9980e-05,0.0797578,0.0640938,0.0068125,-0.195312
-4.9970e-05,0.0793203,0.0651562,0.00753125,-0.310937
-4.9960e-05,0.0787031,0.0625625,0.00609375,-0.267969
-4.9950e-05,0.0783203,0.0645625,0.0074375,-0.244531
-4.9940e-05,0.0772266,0.0626875,0.00682813,-0.225781
-4.9930e-05,0.0764141,0.0661562,0.00573437,-0.261719
-4.9920e-05,0.0764688,0.0649062,0.0075,-0.269531
-4.9910e-05,0.0762578,0.0639688,0.00760938,-0.236719
-4.9900e-05,0.0775859,0.0675,0.0059375,-0.221875
-4.9890e-05,0.0768516,0.066625,0.00603125,-0.246875
-4.9880e-05,0.0770156,0.0655312,0.006875,-0.260937
-4.9870e-05,0.0784922,0.062875,0.00548437,-0.264062
-4.9860e-05,0.0777031,0.0659375,0.00695313,-0.247656
-4.9850e-05,0.0789297,0.0659688,0.00620313,-0.209375
-4.9840e-05,0.0775625,0.0641875,0.0054375,-0.2375
-4.9830e-05,0.0784531,0.0649062,0.00739063,-0.275781
-4.9820e-05,0.0773047,0.0634688,0.00809375,-0.219531
-4.9810e-05,0.0773906,0.06425,0.00534375,-0.199219
-4.9800e-05,0.0774453,0.063875,0.00709375,-0.282031
-4.9790e-05,0.0772188,0.0641562,0.0045625,-0.267969
-4.9780e-05,0.0777734,0.0650625,0.00695313,-0.289062
-4.9770e-05,0.0777109,0.0644062,0.00698438,-0.278125
-4.9760e-05,0.0786172,0.0636563,0.00701563,-0.246094
-4.9750e-05,0.079375,0.0657813,0.00585938,-0.210938
-4.9740e-05,0.0793984,0.0662187,0.0063125,-0.240625
-4.9730e-05,0.0799375,0.0650938,0.00659375,-0.241406
-4.9720e-05,0.0799062,0.0653437,0.0066875,-0.290625
-4.9710e-05,0.0798359,0.0645938,0.00720313,-0.277344
-4.9700e-05,0.0805391,0.0635312,0.00665625,-0.260156
-4.9690e-05,0.0783672,0.0653437,0.00729688,-0.257031
-4.9680e-05,0.0784219,0.0659688,0.00632813,-0.253125
-4.9670e-05,0.0779297,0.0621563,0.00759375,-0.259375
-4.9660e-05,0.0776172,0.0654062,0.00635938,-0.249219
-4.9650e-05,0.0773984,0.0658125,0.00817188,-0.251562
-4.9640e-05,0.0777578,0.065625,0.00701563,-0.298437
-4.9630e-05,0.0782266,0.0662812,0.00598438,-0.221094
-4.9620e-05,0.0786641,0.0673125,0.00564063,-0.255469
-4.9610e-05,0.0796172,0.0681875,0.00590625,-0.236719
-4.9600e-05,0.0792266,0.065375,0.00565625,-0.246094
-4.9590e-05,0.0792344,0.0651875,0.0065,-0.249219
-4.9580e-05,0.079125,0.063875,0.0058125,-0.207031
-4.9570e-05,0.0791328,0.066,0.00601563,-0.239062
-4.9560e-05,0.0793281,0.0642187,0.007625,-0.236719
-4.9550e-05,0.0777578,0.0647187,0.00642188,-0.1875
-4.9540e-05,0.0771172,0.0657813,0.00645313,-0.247656
-4.9530e-05,0.0774531,0.0654375,0.00673438,-0.213281
-4.9520e-05,0.0768203,0.0673125,0.00595313,-0.182812
-4.9510e-05,0.0778516,0.064875,0.00751563,-0.235156
-4.9500e-05,0.077125,0.0652813,0.00534375,-0.217969
-4.9490e-05,0.0771875,0.0647187,0.0058125,-0.230469
-4.9480e-05,0.0780781,0.0670938,0.0066875,-0.275
-4.9470e-05,0.0773516,0.062375,0.00709375,-0.190625
-4.9460e-05,0.0778281,0.0642813,0.00670313,-0.25
-4.9450e-05,0.0766406,0.06175,0.007,-0.254687
-4.9440e-05,0.0775,0.0648437,0.00610938,-0.264062
-4.9430e-05,0.0766172,0.0638125,0.00807813,-0.221875
-4.9420e-05,0.0758672,0.064625,0.007375,-0.286719
-4.9410e-05,0.0768203,0.0647187,0.00742188,-0.278906
-4.9400e-05,0.0762734,0.065875,0.00635938,-0.247656
-4.9390e-05,0.0772969,0.0655625,0.00626563,-0.211719
-4.9380e-05,0.0783047,0.0641875,0.0070625,-0.176562
-4.9370e-05,0.0786484,0.06425,0.00657813,-0.221094
-4.9360e-05,0.0791875,0.0618125,0.00671875,-0.298437
-4.9350e-05,0.0791406,0.0645938,0.00628125,-0.251562
-4.9340e-05,0.0794297,0.063125,0.00682813,-0.230469
-4.9330e-05,0.0788516,0.0641562,0.00679688,-0.253125
-4.9320e-05,0.0784297,0.062625,0.00642188,-0.291406
-4.9310e-05,0.0768516,0.0612813,0.0075,-0.224219
-4.9300e-05,0.0773203,0.0644062,0.0063125,-0.253125
-4.9290e-05,0.0760859,0.0646875,0.00759375,-0.286719
-4.9280e-05,0.0757578,0.0641875,0.00578125,-0.183594
-4.9270e-05,0.0760078,0.065625,0.00764063,-0.263281
-4.9260e-05,0.076875,0.0646875,0.00573437,-0.25625
-4.9250e-05,0.0764062,0.064875,0.00696875,-0.201562
-4.9240e-05,0.0781562,0.0666875,0.00625,-0.244531
-4.9230e-05,0.0779375,0.0668438,0.00571875,-0.253906
-4.9220e-05,0.0788984,0.0658125,0.00671875,-0.216406
-4.9210e-05,0.0804141,0.0651875,0.00698438,-0.255469
-4.9200e-05,0.0793281,0.0661875,0.00703125,-0.253125
-4.9190e-05,0.0795937,0.063875,0.00725,-0.249219
-4.9180e-05,0.078875,0.0654062,0.00810938,-0.232031
-4.9170e-05,0.0791094,0.065875,0.00742188,-0.24375
-4.9160e-05,0.0788828,0.0650938,0.007875,-0.272656
-4.9150e-05,0.0793828,0.0675938,0.00720313,-0.232812
-4.9140e-05,0.0790781,0.0656875,0.0069375,-0.209375
-4.9130e-05,0.0787344,0.0667187,0.00759375,-0.21875
