Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.2,0.1,5
Vertical Position,-3.08,-1.58,-0.7,-0.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.0896484,0.0739063,0.00607813,-0.29375
-4.9990e-05,0.0889062,0.0735,0.00667188,-0.2
-4.9980e-05,0.0874375,0.0753437,0.00570313,-0.242969
-4.9970e-05,0.0888984,0.0741875,0.0065,-0.239062
-4.9960e-05,0.0880781,0.0741875,0.00560937,-0.23125
-4.9950e-05,0.0882344,0.0746563,0.00621875,-0.214062
-4.9940e-05,0.0878437,0.0752188,0.0075,-0.245312
-4.9930e-05,0.0880156,0.0747188,0.00673438,-0.23125
-4.9920e-05,0.0894609,0.0765625,0.00589063,-0.192187
-4.9910e-05,0.088375,0.0744063,0.00532813,-0.238281
-4.9900e-05,0.089375,0.0749688,0.00532813,-0.247656
-4.9890e-05,0.0902812,0.0737812,0.00617188,-0.257031
-4.9880e-05,0.0898438,0.077625,0.00642188,-0.2
-4.9870e-05,0.0900547,0.075875,0.00676563,-0.279687
-4.9860e-05,0.0891562,0.07525,0.00776563,-0.203906
-4.9850e-05,0.0893828,0.07575,0.00617188,-0.248437
-4.9840e-05,0.0897578,0.07425,0.00603125,-0.275
-4.9830e-05,0.0884062,0.0735312,0.0058125,-0.239062
-4.9820e-05,0.088875,0.0742188,0.00523437,-0.310937
-4.9810e-05,0.0885859,0.0750312,0.00590625,-0.25
-4.9800e-05,0.0885703,0.0754063,0.00653125,-0.274219
-4.9790e-05,0.0888047,0.0753437,0.006125,-0.299219
-4.9780e-05,0.0878828,0.0750937,0.00525,-0.2875
-4.9770e-05,0.0883125,0.0713438,0.00660938,-0.196094
-4.9760e-05,0.0883906,0.0734687,0.0065625,-0.244531
-4.9750e-05,0.0890937,0.0746563,0.006875,-0.210156
-4.9740e-05,0.0891484,0.0735312,0.00759375,-0.271094
-4.9730e-05,0.0892656,0.0764688,0.00678125,-0.299219
-4.9720e-05,0.0898359,0.0752188,0.00640625,-0.270312
-4.9710e-05,0.0889531,0.0743437,0.00754688,-0.246875
-4.9700e-05,0.0895703,0.0753437,0.0068125,-0.220312
-4.9690e-05,0.0896484,0.07475,0.00675,-0.1875
-4.9680e-05,0.0894766,0.0744063,0.006,-0.280469
-4.9670e-05,0.09025,0.0721563,0.0066875,-0.249219
-4.9660e-05,0.0889141,0.0750625,0.00685938,-0.245312
-4.9650e-05,0.0903828,0.0760937,0.00682813,-0.283594
-4.9640e-05,0.0900938,0.0749688,0.0076875,-0.265625
-4.9630e-05,0.0901406,0.07325,0.0081875,-0.220312
-4.9620e-05,0.09,0.0766563,0.00826563,-0.232031
-4.9610e-05,0.0891328,0.0750312,0.00654688,-0.2625
-4.9600e-05,0.0894531,0.074375,0.00682813,-0.246094
-4.9590e-05,0.0885703,0.0751875,0.0076875,-0.282812
-4.9580e-05,0.0886953,0.0753125,0.00626563,-0.224219
-4.9570e-05,0.0882109,0.0760937,0.00753125,-0.241406
-4.9560e-05,0.0878125,0.074875,0.00632813,-0.258594
-4.9550e-05,0.0892344,0.0755937,0.00720313,-0.290625
-4.9540e-05,0.0885859,0.0738437,0.00707813,-0.296094
-4.9530e-05,0.0886875,0.075,0.00665625,-0.244531
-4.9520e-05,0.0892734,0.0729063,0.00675,-0.260156
-4.9510e-05,0.0886484,0.0727187,0.00721875,-0.3125
-4.9500e-05,0.09,0.0753125,0.00695313,-0.279687
-4.9490e-05,0.0891719,0.0718125,0.007125,-0.309375
-4.9480e-05,0.0898594,0.0746563,0.00775,-0.252344
-4.9470e-05,0.0901562,0.0739063,0.0061875,-0.251562
-4.9460e-05,0.0897109,0.0745312,0.0070625,-0.264844
-4.9450e-05,0.0899219,0.0760937,0.00660938,-0.226562
-4.9440e-05,0.0899141,0.0745625,0.0065,-0.295312
-4.9430e-05,0.0901406,0.07575,0.0070625,-0.252344
-4.9420e-05,0.0898359,0.0744375,0.0076875,-0.215625
-4.9410e-05,0.0901797,0.0733437,0.00723438,-0.252344
-4.9400e-05,0.0904531,0.0766875,0.0053125,-0.244531
-4.9390e-05,0.0901094,0.0738125,0.00815625,-0.272656
-4.9380e-05,0.0901797,0.0728125,0.00864063,-0.238281
-4.9370e-05,0.0902266,0.0742188,0.00698438,-0.240625
-4.9360e-05,0.0895859,0.074,0.00639063,-0.2875
-4.9350e-05,0.0885781,0.0751875,0.00696875,-0.238281
-4.9340e-05,0.0881406,0.073625,0.0064375,-0.228125
-4.9330e-05,0.0885078,0.074375,0.0060625,-0.213281
-4.9320e-05,0.0873516,0.074125,0.0055625,-0.245312
-4.9310e-05,0.0883281,0.0737187,0.00689063,-0.24375
-4.9300e-05,0.0886484,0.0768125,0.00773438,-0.242969
-4.9290e-05,0.0880156,0.0760937,0.00554688,-0.179688
-4.9280e-05,0.0894375,0.074,0.00539063,-0.214844
-4.9270e-05,0.0897344,0.074125,0.00745313,-0.258594
-4.9260e-05,0.0897031,0.0775,0.00554688,-0.232031
-4.9250e-05,0.0895078,0.0751875,0.00720313,-0.232031
-4.9240e-05,0.0896016,0.0737187,0.00573437,-0.296875
-4.9230e-05,0.0899922,0.0746563,0.00603125,-0.259375
-4.9220e-05,0.0896641,0.0742188,0.00739063,-0.21875
-4.9210e-05,0.0896328,0.0763437,0.00610938,-0.238281
-4.9200e-05,0.0889844,0.0728125,0.006625,-0.250781
-4.9190e-05,0.0890469,0.0735,0.006,-0.217187
-4.9180e-05,0.0896953,0.0729375,0.00679688,-0.334375
-4.9170e-05,0.0882187,0.0759375,0.0070625,-0.217969
-4.9160e-05,0.0885391,0.0742188,0.0063125,-0.252344
-4.9150e-05,0.0882656,0.0741875,0.00651563,-0.208594
-4.9140e-05,0.0886172,0.0744688,0.00657813,-0.290625
-4.9130e-05,0.0895078,0.0751875,0.00698438,-0.267187
