-5	389	634	35
-1	388	641	33
-2	389	643	31
-2	386	646	32
-6	386	646	31
-5	381	649	32
-4	394	654	32
-3	502	661	32
-6	709	749	34
-2	1276	894	36
-4	2203	1256	31
-3	3272	1866	32
-3	4254	2541	32
-3	4846	3196	34
-4	4993	3777	33
0	5000	4245	34
-3	5000	4625	30
-3	5000	4872	33
-1	5000	4984	33
-4	5000	4997	33
-2	5000	5000	34
-2	5000	5000	36
0	5000	5000	30
-2	5000	5000	31
-3	5000	5000	34
-1	5000	5000	31
-3	5000	5000	34
-4	5000	5000	32
-1	5000	5000	35
-3	5000	5000	31
-5	5000	5000	34
-2	5000	5000	34
-5	5000	5000	33
-1	5000	5000	33
-3	5000	5000	36
-4	5000	5000	30
-1	5000	5000	34
-1	5000	5000	34
0	5000	5000	33
-3	5000	5000	30
-4	5000	5000	30
-4	5000	5000	33
-4	5000	5000	32
-1	5000	5000	35
-6	5000	5000	31
-4	5000	5000	34
-2	5000	5000	32
-5	5000	5000	33
-2	5000	5000	32
1	5000	5000	33
-2	5000	5000	34
-5	5000	5000	32
-3	5000	5000	33
-2	5000	5000	34
-1	4999	5000	31
-2	4999	5000	33
-3	4998	5000	34
-3	4999	5000	32
-5	4996	5000	34
-6	4995	5000	35
-4	4994	5000	32
-1	4991	5000	31
-2	4986	5000	33
-3	4982	5000	33
-3	4976	5000	33
-3	4972	5000	33
-4	4966	5000	31
-3	4961	5000	33
-4	4949	5000	32
-4	4944	5000	33
-4	4931	5000	31
-5	4924	5000	30
-4	4908	5000	30
-3	4902	5000	30
-4	4885	5000	30
-3	4878	5000	31
-5	4861	5000	31
-4	4851	5000	31
-7	4835	5000	34
-2	4823	5000	34
-5	4805	4999	31
-5	4796	4999	31
0	4781	4999	32
-1	4769	4999	32
-5	4751	4998	34
0	4738	4998	34
-3	4721	4998	35
-1	4711	4995	34
-3	4696	4996	30
-1	4682	4994	33
-1	4665	4991	32
-4	4656	4990	35
-1	4639	4988	31
-4	4629	4986	32
-3	4610	4982	33
-2	4601	4978	35
-1	4584	4976	32
-2	4574	4971	35
-4	4557	4969	35
0	4545	4963	34
-2	4529	4959	31
-3	4519	4953	33
-4	4507	4949	34
-2	4496	4942	33
-1	4479	4935	33
-2	4465	4928	34
-1	4451	4923	34
-3	4440	4913	33
-3	4427	4912	33
-2	4415	4900	35
-4	4397	4896	33
-1	4385	4888	32
-3	4373	4877	31
-1	4361	4871	33
-4	4343	4866	34
-1	4334	4857	33
0	4318	4852	35
-3	4312	4843	31
-4	4293	4834	33
-4	4281	4824	34
-3	4270	4816	32
-1	4257	4800	32
-1	4242	4799	32
0	4231	4785	35
-2	4217	4782	33
-1	4206	4769	32
-2	4190	4761	37
-2	4178	4752	35
-4	4167	4744	30
