28	1244	3167	42
29	1235	3159	38
32	1245	3170	38
24	1239	3156	42
30	1237	3168	39
30	1230	3163	41
25	1277	3155	41
26	1412	3236	40
24	1659	3510	38
30	2259	3858	42
24	3130	4571	38
31	4037	5426	41
30	4792	6149	39
29	5245	6683	33
26	5499	7123	43
30	5617	7353	40
29	5656	7357	42
29	5694	7249	41
27	5694	7264	41
27	5699	7292	42
31	5679	7283	41
30	5662	7262	37
29	5638	7265	37
27	5628	7282	37
28	5605	7287	37
30	5604	7266	43
27	5593	7277	38
29	5600	7283	39
25	5589	7284	39
24	5589	7268	42
30	5581	7277	39
29	5577	7274	45
32	5563	7279	40
28	5554	7267	39
26	5542	7280	39
30	5535	7269	44
26	5517	7275	38
32	5512	7264	41
28	5494	7269	37
25	5490	7264	44
31	5468	7266	34
32	5465	7259	41
27	5446	7265	39
28	5443	7256	41
25	5426	7260	40
29	5417	7251	39
30	5397	7252	42
26	5394	7250	41
27	5374	7248	41
27	5366	7245	39
26	5353	7247	38
30	5347	7243	41
22	5329	7248	37
28	5319	7234	41
30	5302	7240	41
25	5291	7236	40
29	5276	7244	38
33	5264	7236	39
25	5246	7237	40
26	5241	7235	39
29	5229	7238	40
29	5217	7228	39
26	5197	7228	38
25	5193	7228	45
30	5176	7232	38
28	5169	7231	40
27	5151	7236	39
28	5144	7228	36
27	5126	7231	38
25	5117	7222	45
26	5104	7230	39
27	5090	7222	43
32	5078	7228	38
25	5064	7224	40
25	5049	7228	44
28	5040	7224	44
29	5021	7227	40
32	5013	7224	41
29	5003	7225	39
31	4992	7223	44
26	4975	7228	43
31	4962	7225	35
29	4949	7231	39
29	4943	7224	39
25	4924	7234	36
28	4917	7219	41
24	4906	7232	37
25	4892	7226	41
31	4877	7233	38
34	4874	7225	41
29	4854	7232	37
31	4851	7229	40
29	4837	7230	32
27	4822	7226	42
28	4807	7230	39
27	4797	7230	40
26	4783	7233	39
30	4777	7224	43
28	4763	7232	34
28	4753	7224	44
26	4737	7223	38
34	4729	7215	43
23	4722	7210	41
30	4707	7199	41
30	4698	7201	37
30	4687	7175	40
24	4669	7171	36
26	4664	7146	43
29	4646	7138	36
32	4642	7121	40
29	4631	7118	38
31	4622	7098	41
28	4604	7092	38
31	4598	7079	41
27	4584	7082	41
34	4573	7073	40
31	4561	7074	41
26	4550	7068	42
27	4537	7075	39
29	4526	7070	43
24	4521	7079	40
29	4511	7072	36
27	4495	7077	41
28	4483	7080	40
28	4474	7087	40
31	4460	7081	38
31	4452	7091	39
25	4446	7087	40
30	4436	7095	38
31	4424	7088	41
25	4408	7093	38
29	4398	7088	42
28	4386	7094	40
26	4380	7087	44
29	4368	7094	35
22	4361	7087	42
28	4349	7093	37
25	4340	7083	39
26	4320	7094	43
28	4316	7084	40
25	4307	7085	40
28	4296	7078	42
28	4286	7079	40
30	4272	7079	40
26	4267	7081	46
31	4257	7077	40
27	4248	7078	37
28	4233	7073	41
29	4224	7080	39
27	4217	7068	42
24	4204	7076	36
27	4195	7068	39
28	4189	7080	37
27	4182	7068	38
29	4169	7074	40
31	4162	7069	42
25	4149	7078	39
31	4144	7068	38
26	4126	7073	37
27	4126	7065	38
30	4108	7072	39
31	4106	7065	45
30	4088	7069	35
26	4086	7063	45
28	4076	7068	39
29	4064	7063	37
27	4053	7064	38
30	4047	7062	41
28	4031	7067	34
28	4028	7059	42
29	4011	7067	41
32	4007	7058	40
31	3995	7062	34
27	3989	7057	38
27	3981	7060	39
28	3975	7056	39
29	3957	7060	37
29	3955	7051	39
24	3944	7058	37
33	3934	7052	43
24	3922	7056	39
32	3919	7052	40
30	3903	7056	45
28	3900	7046	39
26	3886	7048	35
29	3882	7042	39
25	3869	7045	35
27	3864	7036	36
30	3852	7038	32
27	3847	7028	43
29	3836	7032	40
29	3823	7023	40
28	3816	7027	38
28	3810	7018	38
30	3796	7019	34
29	3798	7006	43
29	3779	7004	38
