Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.104844,0.0578125,0.00567187,-0.178906
-4.9990e-05,0.104094,0.0546563,0.00779688,-0.195312
-4.9980e-05,0.104625,0.0587813,0.00529687,-0.233594
-4.9970e-05,0.106281,0.0574063,0.0051875,-0.213281
-4.9960e-05,0.103156,0.0571563,0.00535937,-0.159375
-4.9950e-05,0.0999063,0.0573438,0.00564063,-0.1625
-4.9940e-05,0.105375,0.0560625,0.0061875,-0.199219
-4.9930e-05,0.103063,0.0598125,0.00546875,-0.151562
-4.9920e-05,0.104719,0.056875,0.00565625,-0.196875
-4.9910e-05,0.104438,0.0565625,0.00571875,-0.210156
-4.9900e-05,0.102219,0.0569375,0.00742188,-0.14375
-4.9890e-05,0.105125,0.0580313,0.00446875,-0.164062
-4.9880e-05,0.104063,0.05775,0.00501563,-0.183594
-4.9870e-05,0.102656,0.0563125,0.00592188,-0.253906
-4.9860e-05,0.103719,0.0584375,0.00578125,-0.159375
-4.9850e-05,0.102219,0.0565938,0.00678125,-0.182031
-4.9840e-05,0.104781,0.0584375,0.00609375,-0.158594
-4.9830e-05,0.106094,0.0582188,0.00703125,-0.203906
-4.9820e-05,0.103438,0.0582188,0.006375,-0.155469
-4.9810e-05,0.102156,0.0564375,0.00645312,-0.171094
-4.9800e-05,0.101406,0.05925,0.00592188,-0.196875
-4.9790e-05,0.105063,0.0583125,0.00689062,-0.238281
-4.9780e-05,0.104219,0.0568438,0.00503125,-0.161719
-4.9770e-05,0.104438,0.0564688,0.00653125,-0.135937
-4.9760e-05,0.106375,0.0565,0.00582813,-0.167187
-4.9750e-05,0.103781,0.058,0.00596875,-0.151562
-4.9740e-05,0.105156,0.0559688,0.00575,-0.160938
-4.9730e-05,0.1045,0.0584063,0.00635938,-0.239063
-4.9720e-05,0.10575,0.0567813,0.00615625,-0.217969
-4.9710e-05,0.105094,0.0573438,0.00528125,-0.117188
-4.9700e-05,0.105063,0.057625,0.00559375,-0.217188
-4.9690e-05,0.1035,0.0573438,0.006,-0.171094
-4.9680e-05,0.104063,0.0575313,0.00571875,-0.217969
-4.9670e-05,0.10425,0.059375,0.00707812,-0.20625
-4.9660e-05,0.101594,0.057125,0.00478125,-0.205469
-4.9650e-05,0.104625,0.0586563,0.00539063,-0.221875
-4.9640e-05,0.103844,0.0554063,0.004875,-0.178125
-4.9630e-05,0.103281,0.0592813,0.00675,-0.176563
-4.9620e-05,0.103344,0.0589688,0.00590625,-0.160938
-4.9610e-05,0.104531,0.0576875,0.00671875,-0.197656
-4.9600e-05,0.103281,0.0580313,0.00657812,-0.204687
-4.9590e-05,0.104031,0.0578438,0.00564063,-0.164844
-4.9580e-05,0.10275,0.0582813,0.00671875,-0.201563
-4.9570e-05,0.104031,0.05925,0.00654688,-0.196875
-4.9560e-05,0.103406,0.0575313,0.00596875,-0.165625
-4.9550e-05,0.104438,0.059125,0.00585938,-0.241406
-4.9540e-05,0.101656,0.0571563,0.00748438,-0.182812
-4.9530e-05,0.103875,0.0594688,0.00504687,-0.184375
-4.9520e-05,0.105,0.0576875,0.00751562,-0.164844
-4.9510e-05,0.103656,0.05775,0.00601562,-0.235156
-4.9500e-05,0.103656,0.0578125,0.00654688,-0.176563
-4.9490e-05,0.104594,0.0580313,0.00646875,-0.14375
-4.9480e-05,0.1035,0.0572813,0.00625,-0.144531
-4.9470e-05,0.105031,0.0571563,0.0063125,-0.185938
-4.9460e-05,0.104563,0.0585,0.00740625,-0.1875
-4.9450e-05,0.1035,0.05825,0.00507813,-0.14375
-4.9440e-05,0.103281,0.0610938,0.00579687,-0.158594
-4.9430e-05,0.102125,0.057125,0.00625,-0.176563
-4.9420e-05,0.103125,0.056875,0.006375,-0.208594
-4.9410e-05,0.103188,0.0604063,0.00534375,-0.173437
-4.9400e-05,0.1045,0.0586563,0.00535937,-0.123438
-4.9390e-05,0.104031,0.0584063,0.00553125,-0.159375
-4.9380e-05,0.104125,0.06,0.00492187,-0.140625
-4.9370e-05,0.105,0.0566875,0.0050625,-0.142187
-4.9360e-05,0.103594,0.0555625,0.005875,-0.196875
-4.9350e-05,0.104906,0.0571563,0.00635938,-0.141406
-4.9340e-05,0.102563,0.0575938,0.00615625,-0.196094
-4.9330e-05,0.106563,0.0582813,0.006875,-0.257031
-4.9320e-05,0.104594,0.056875,0.00739062,-0.242969
-4.9310e-05,0.104688,0.0574688,0.00664062,-0.160156
-4.9300e-05,0.1045,0.060375,0.00617188,-0.121875
-4.9290e-05,0.103031,0.058125,0.00726562,-0.121875
-4.9280e-05,0.103906,0.0603125,0.00767188,-0.138281
-4.9270e-05,0.105406,0.0571875,0.00617188,-0.225
-4.9260e-05,0.106313,0.0590938,0.00653125,-0.194531
-4.9250e-05,0.104031,0.0606563,0.00746875,-0.155469
-4.9240e-05,0.103594,0.0573438,0.00704688,-0.2
-4.9230e-05,0.105063,0.0565938,0.00626562,-0.178125
-4.9220e-05,0.104344,0.0590313,0.00614062,-0.182812
-4.9210e-05,0.102313,0.0585313,0.00692188,-0.202344
-4.9200e-05,0.107406,0.0589063,0.00667188,-0.141406
-4.9190e-05,0.103094,0.058625,0.00514063,-0.210938
-4.9180e-05,0.103219,0.0592813,0.00635938,-0.150781
-4.9170e-05,0.103813,0.0589063,0.00504687,-0.161719
-4.9160e-05,0.102781,0.0595938,0.00551563,-0.182031
-4.9150e-05,0.103094,0.0587813,0.00576563,-0.210938
-4.9140e-05,0.105688,0.0584375,0.00495313,-0.188281
-4.9130e-05,0.105875,0.0585,0.00523437,-0.211719
-4.9120e-05,0.10375,0.058625,0.00679688,-0.190625
-4.9110e-05,0.104719,0.0592188,0.006125,-0.214062
