Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.117875,0.0975313,0.00725,-0.182812
-4.9990e-05,0.118281,0.0956875,0.00620312,-0.225
-4.9980e-05,0.116,0.0984688,0.0071875,-0.167969
-4.9970e-05,0.115906,0.096625,0.00595313,-0.182031
-4.9960e-05,0.116938,0.0988438,0.00559375,-0.140625
-4.9950e-05,0.117875,0.0958125,0.00559375,-0.200781
-4.9940e-05,0.115,0.0964375,0.00609375,-0.145313
-4.9930e-05,0.117594,0.0965938,0.00675,-0.196875
-4.9920e-05,0.119,0.0954375,0.00723438,-0.186719
-4.9910e-05,0.116219,0.0960625,0.00509375,-0.1625
-4.9900e-05,0.116719,0.0975313,0.0060625,-0.122656
-4.9890e-05,0.118,0.0963438,0.0056875,-0.208594
-4.9880e-05,0.1175,0.0967813,0.0055,-0.148438
-4.9870e-05,0.117844,0.0959063,0.00484375,-0.184375
-4.9860e-05,0.117094,0.0980313,0.00660938,-0.158594
-4.9850e-05,0.114344,0.0952813,0.00476563,-0.114063
-4.9840e-05,0.118813,0.09825,0.00559375,-0.165625
-4.9830e-05,0.115688,0.0963125,0.00576563,-0.1875
-4.9820e-05,0.115688,0.0993125,0.00640625,-0.207031
-4.9810e-05,0.116688,0.0969375,0.00617188,-0.153906
-4.9800e-05,0.115,0.0980313,0.00617188,-0.134375
-4.9790e-05,0.118781,0.0964688,0.00535937,-0.171875
-4.9780e-05,0.117719,0.0977813,0.00564063,-0.186719
-4.9770e-05,0.116844,0.0974375,0.006,-0.155469
-4.9760e-05,0.118313,0.095375,0.0058125,-0.1125
-4.9750e-05,0.11525,0.0965625,0.0048125,-0.233594
-4.9740e-05,0.117844,0.0981875,0.00710938,-0.192969
-4.9730e-05,0.11625,0.095625,0.00575,-0.150781
-4.9720e-05,0.117531,0.0970625,0.00659375,-0.207813
-4.9710e-05,0.115375,0.0959375,0.00526563,-0.132031
-4.9700e-05,0.116563,0.0939375,0.0039375,-0.1375
-4.9690e-05,0.116469,0.0962813,0.00589063,-0.141406
-4.9680e-05,0.119375,0.0959375,0.00478125,-0.114063
-4.9670e-05,0.115406,0.0963125,0.00564063,-0.163281
-4.9660e-05,0.114125,0.0982188,0.00596875,-0.153906
-4.9650e-05,0.116,0.09475,0.00542187,-0.249219
-4.9640e-05,0.115594,0.09725,0.0056875,-0.169531
-4.9630e-05,0.117031,0.0945,0.00553125,-0.165625
-4.9620e-05,0.117094,0.0955,0.00465625,-0.174219
-4.9610e-05,0.118656,0.0956563,0.00521875,-0.175781
-4.9600e-05,0.116719,0.09675,0.00528125,-0.196875
-4.9590e-05,0.118281,0.0959688,0.00621875,-0.148438
-4.9580e-05,0.1165,0.0958438,0.00634375,-0.15625
-4.9570e-05,0.117688,0.0948438,0.00492187,-0.201563
-4.9560e-05,0.1185,0.0960625,0.0055625,-0.1375
-4.9550e-05,0.117313,0.0990938,0.00539063,-0.180469
-4.9540e-05,0.115469,0.0958125,0.00596875,-0.159375
-4.9530e-05,0.117969,0.0969063,0.00384375,-0.192188
-4.9520e-05,0.119938,0.0945,0.00495313,-0.1375
-4.9510e-05,0.116375,0.0960938,0.005875,-0.160156
-4.9500e-05,0.116906,0.0970313,0.006375,-0.160156
-4.9490e-05,0.114594,0.0964688,0.0056875,-0.191406
-4.9480e-05,0.120125,0.0956563,0.00428125,-0.15
-4.9470e-05,0.116781,0.0982188,0.00526563,-0.210938
-4.9460e-05,0.116906,0.0969688,0.00585938,-0.1375
-4.9450e-05,0.115813,0.0968125,0.00517187,-0.188281
-4.9440e-05,0.11675,0.0970938,0.00575,-0.124219
-4.9430e-05,0.115344,0.0954688,0.005,-0.154688
-4.9420e-05,0.115938,0.097125,0.00639062,-0.210156
-4.9410e-05,0.11425,0.0952813,0.00535937,-0.158594
-4.9400e-05,0.115438,0.095625,0.005375,-0.149219
-4.9390e-05,0.113844,0.096,0.00684375,-0.157812
-4.9380e-05,0.117188,0.0952188,0.00520313,-0.123438
-4.9370e-05,0.116156,0.0964688,0.00584375,-0.170313
-4.9360e-05,0.116125,0.0955625,0.006625,-0.20625
-4.9350e-05,0.117719,0.0980938,0.00639062,-0.178906
-4.9340e-05,0.117156,0.097125,0.007625,-0.211719
-4.9330e-05,0.115938,0.0957813,0.004875,-0.173437
-4.9320e-05,0.115875,0.0969688,0.0063125,-0.229687
-4.9310e-05,0.118,0.0949688,0.007125,-0.172656
-4.9300e-05,0.11675,0.094625,0.00564063,-0.216406
-4.9290e-05,0.116188,0.0953125,0.00723438,-0.142187
-4.9280e-05,0.11625,0.0972188,0.00610938,-0.182812
-4.9270e-05,0.116594,0.09625,0.00673438,-0.190625
-4.9260e-05,0.115688,0.0965938,0.00551563,-0.178906
-4.9250e-05,0.114969,0.0953438,0.00585938,-0.165625
-4.9240e-05,0.115969,0.0960313,0.00559375,-0.211719
-4.9230e-05,0.117031,0.0972813,0.00634375,-0.175781
-4.9220e-05,0.117219,0.0985313,0.00607812,-0.223438
-4.9210e-05,0.117,0.0956875,0.00535937,-0.214062
-4.9200e-05,0.118406,0.0979688,0.00559375,-0.165625
-4.9190e-05,0.116,0.09725,0.00554687,-0.15
-4.9180e-05,0.118906,0.0966875,0.00540625,-0.200781
-4.9170e-05,0.117563,0.096125,0.00532813,-0.132031
-4.9160e-05,0.117313,0.0954688,0.00489063,-0.21875
-4.9150e-05,0.116594,0.095875,0.00771875,-0.170313
-4.9140e-05,0.117938,0.0961563,0.00754688,-0.136719
-4.9130e-05,0.116969,0.0961563,0.0065625,-0.185156
-4.9120e-05,0.118406,0.096375,0.00478125,-0.153906
-4.9110e-05,0.117313,0.0948125,0.00707812,-0.185156
-4.9100e-05,0.115844,0.097625,0.00626562,-0.107813
