Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.106188,0.0846875,0.0061875,-0.135156
-4.9990e-05,0.107844,0.0859688,0.00604688,-0.159375
-4.9980e-05,0.106219,0.0850938,0.00596875,-0.164844
-4.9970e-05,0.105813,0.0875313,0.00492187,-0.179688
-4.9960e-05,0.108156,0.088,0.00565625,-0.171875
-4.9950e-05,0.108188,0.0880938,0.00590625,-0.230469
-4.9940e-05,0.107344,0.0855,0.00584375,-0.147656
-4.9930e-05,0.110344,0.0879375,0.00575,-0.245312
-4.9920e-05,0.109313,0.0870625,0.00598438,-0.195312
-4.9910e-05,0.107188,0.0866563,0.0073125,-0.132812
-4.9900e-05,0.107563,0.0874375,0.00570313,-0.186719
-4.9890e-05,0.107656,0.0874375,0.00698438,-0.134375
-4.9880e-05,0.105719,0.0832188,0.00635938,-0.170313
-4.9870e-05,0.107094,0.0879688,0.00798438,-0.139063
-4.9860e-05,0.106531,0.0853125,0.00692188,-0.160156
-4.9850e-05,0.107688,0.0858438,0.00685938,-0.189844
-4.9840e-05,0.108813,0.089,0.006375,-0.191406
-4.9830e-05,0.108625,0.08675,0.00534375,-0.130469
-4.9820e-05,0.108844,0.0891875,0.0065,-0.146875
-4.9810e-05,0.106313,0.0893125,0.00610938,-0.188281
-4.9800e-05,0.104531,0.0853438,0.00514063,-0.130469
-4.9790e-05,0.107938,0.0866875,0.00854688,-0.169531
-4.9780e-05,0.111438,0.0848438,0.006375,-0.142187
-4.9770e-05,0.106656,0.0886875,0.00534375,-0.136719
-4.9760e-05,0.1055,0.0860938,0.00745312,-0.204687
-4.9750e-05,0.1095,0.0875313,0.00614062,-0.176563
-4.9740e-05,0.106344,0.0890313,0.00682812,-0.113281
-4.9730e-05,0.106969,0.088,0.00584375,-0.219531
-4.9720e-05,0.107969,0.087875,0.00479687,-0.1375
-4.9710e-05,0.108406,0.0878125,0.0065625,-0.172656
-4.9700e-05,0.106313,0.0866563,0.00417187,-0.170313
-4.9690e-05,0.104125,0.0859063,0.00653125,-0.180469
-4.9680e-05,0.108125,0.0874375,0.0050625,-0.195312
-4.9670e-05,0.10725,0.0856875,0.00607812,-0.116406
-4.9660e-05,0.107938,0.0874063,0.00770312,-0.189844
-4.9650e-05,0.109281,0.0869688,0.00610938,-0.185938
-4.9640e-05,0.10925,0.087125,0.00646875,-0.196875
-4.9630e-05,0.106813,0.0878125,0.00632812,-0.171094
-4.9620e-05,0.107188,0.08775,0.00634375,-0.246875
-4.9610e-05,0.104281,0.0876875,0.00535937,-0.157812
-4.9600e-05,0.1075,0.0889688,0.00603125,-0.204687
-4.9590e-05,0.108438,0.0863125,0.00551563,-0.132031
-4.9580e-05,0.107594,0.0876875,0.00645312,-0.179688
-4.9570e-05,0.108656,0.08625,0.00604688,-0.171875
-4.9560e-05,0.108688,0.0869375,0.0059375,-0.135937
-4.9550e-05,0.108313,0.0864688,0.00548437,-0.20625
-4.9540e-05,0.106125,0.08575,0.00771875,-0.115625
-4.9530e-05,0.106813,0.0880313,0.00473437,-0.128906
-4.9520e-05,0.108188,0.0865313,0.0076875,-0.200781
-4.9510e-05,0.106219,0.0886875,0.00675,-0.228125
-4.9500e-05,0.105719,0.0856875,0.005875,-0.160938
-4.9490e-05,0.104,0.0877813,0.00571875,-0.163281
-4.9480e-05,0.106219,0.0861563,0.00603125,-0.178906
-4.9470e-05,0.106656,0.0877813,0.00732812,-0.159375
-4.9460e-05,0.108625,0.0881563,0.00626562,-0.141406
-4.9450e-05,0.105313,0.0885313,0.006,-0.147656
-4.9440e-05,0.107,0.0877188,0.00585938,-0.207813
-4.9430e-05,0.106844,0.0868438,0.0070625,-0.175
-4.9420e-05,0.107125,0.085625,0.00634375,-0.110937
-4.9410e-05,0.105344,0.0888438,0.00685938,-0.179688
-4.9400e-05,0.106719,0.0882813,0.006875,-0.210938
-4.9390e-05,0.107375,0.0886875,0.00726562,-0.170313
-4.9380e-05,0.106906,0.0870313,0.00679688,-0.200781
-4.9370e-05,0.107688,0.08575,0.00529687,-0.176563
-4.9360e-05,0.106188,0.089375,0.00676562,-0.185938
-4.9350e-05,0.107969,0.0874375,0.00495313,-0.151562
-4.9340e-05,0.106,0.0886563,0.00623438,-0.174219
-4.9330e-05,0.108469,0.0886563,0.00592188,-0.145313
-4.9320e-05,0.106625,0.08675,0.00573437,-0.142187
-4.9310e-05,0.108344,0.089,0.00501563,-0.15
-4.9300e-05,0.108844,0.0873438,0.00578125,-0.159375
-4.9290e-05,0.106813,0.0873125,0.0058125,-0.15625
-4.9280e-05,0.105375,0.0874063,0.00671875,-0.153125
-4.9270e-05,0.104813,0.087625,0.00679688,-0.192969
-4.9260e-05,0.106531,0.0864063,0.00664062,-0.157031
-4.9250e-05,0.106,0.0882813,0.006875,-0.188281
-4.9240e-05,0.106094,0.086625,0.006625,-0.164062
-4.9230e-05,0.105469,0.0889688,0.00721875,-0.183594
-4.9220e-05,0.104594,0.0893438,0.00621875,-0.207031
-4.9210e-05,0.106,0.0857813,0.00514063,-0.127344
-4.9200e-05,0.105906,0.08775,0.00628125,-0.159375
-4.9190e-05,0.1055,0.08625,0.00721875,-0.154688
-4.9180e-05,0.106063,0.0869375,0.00526563,-0.166406
-4.9170e-05,0.10675,0.0883125,0.00573437,-0.203906
-4.9160e-05,0.105531,0.0885313,0.0078125,-0.214062
-4.9150e-05,0.106938,0.0856875,0.00534375,-0.165625
-4.9140e-05,0.10625,0.08875,0.00657812,-0.129688
-4.9130e-05,0.105563,0.0885625,0.00801562,-0.163281
-4.9120e-05,0.106,0.0879688,0.00739062,-0.192188
-4.9110e-05,0.107031,0.085875,0.006375,-0.192969
-4.9100e-05,0.104781,0.0863125,0.00632812,-0.130469
