Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.0981875,0.06725,0.0053125,-0.18125
-4.9990e-05,0.0968125,0.0690625,0.00507813,-0.129688
-4.9980e-05,0.0998438,0.0679375,0.00634375,-0.142187
-4.9970e-05,0.0991563,0.0695313,0.00546875,-0.191406
-4.9960e-05,0.0969375,0.067375,0.00651562,-0.174219
-4.9950e-05,0.09725,0.0674375,0.00629688,-0.182812
-4.9940e-05,0.0970625,0.0691875,0.00585938,-0.223438
-4.9930e-05,0.097625,0.069125,0.0070625,-0.211719
-4.9920e-05,0.0969688,0.0678438,0.00464063,-0.197656
-4.9910e-05,0.0969688,0.069,0.00665625,-0.1625
-4.9900e-05,0.098,0.0683438,0.00553125,-0.159375
-4.9890e-05,0.0984688,0.0677813,0.00496875,-0.117188
-4.9880e-05,0.0998438,0.064875,0.00610938,-0.127344
-4.9870e-05,0.0970625,0.0675313,0.00384375,-0.164062
-4.9860e-05,0.097875,0.0669375,0.0065625,-0.16875
-4.9850e-05,0.0969375,0.0680313,0.00679688,-0.23125
-4.9840e-05,0.097,0.06675,0.00521875,-0.186719
-4.9830e-05,0.0968125,0.0667188,0.00564063,-0.153906
-4.9820e-05,0.0975938,0.0693125,0.00554687,-0.192188
-4.9810e-05,0.0948438,0.068,0.00748438,-0.147656
-4.9800e-05,0.0953125,0.0669375,0.00703125,-0.107813
-4.9790e-05,0.09875,0.0684063,0.0056875,-0.130469
-4.9780e-05,0.09775,0.0693125,0.006625,-0.0921875
-4.9770e-05,0.0990313,0.0683125,0.0060625,-0.192188
-4.9760e-05,0.0954063,0.0665938,0.00589063,-0.197656
-4.9750e-05,0.0993125,0.0667813,0.0069375,-0.165625
-4.9740e-05,0.095875,0.0664375,0.00603125,-0.205469
-4.9730e-05,0.0973438,0.0680313,0.00603125,-0.160156
-4.9720e-05,0.0970313,0.0677188,0.00595313,-0.176563
-4.9710e-05,0.0976875,0.0657813,0.00507813,-0.121875
-4.9700e-05,0.0958125,0.067375,0.00560937,-0.164062
-4.9690e-05,0.0982813,0.0672813,0.00692188,-0.169531
-4.9680e-05,0.0967813,0.0649063,0.00679688,-0.192969
-4.9670e-05,0.0963125,0.0690625,0.00457813,-0.173437
-4.9660e-05,0.0980625,0.068125,0.00515625,-0.110937
-4.9650e-05,0.0975625,0.0659375,0.0059375,-0.166406
-4.9640e-05,0.098625,0.0687813,0.00701562,-0.169531
-4.9630e-05,0.0966875,0.064875,0.00520313,-0.153125
-4.9620e-05,0.0960625,0.066625,0.00395313,-0.202344
-4.9610e-05,0.0978438,0.0665,0.008,-0.136719
-4.9600e-05,0.0957813,0.0655938,0.00664062,-0.1875
-4.9590e-05,0.0978125,0.0674375,0.0075625,-0.186719
-4.9580e-05,0.0979375,0.0667813,0.007,-0.113281
-4.9570e-05,0.0975625,0.0695938,0.0070625,-0.166406
-4.9560e-05,0.0962813,0.0666563,0.00898438,-0.119531
-4.9550e-05,0.096375,0.0684375,0.00628125,-0.171094
-4.9540e-05,0.0961563,0.0674375,0.00685938,-0.108594
-4.9530e-05,0.0988438,0.0682813,0.00651562,-0.178125
-4.9520e-05,0.09925,0.065875,0.00579687,-0.154688
-4.9510e-05,0.0969063,0.0684375,0.00634375,-0.197656
-4.9500e-05,0.0981563,0.067375,0.00415625,-0.177344
-4.9490e-05,0.0993438,0.0686875,0.00453125,-0.219531
-4.9480e-05,0.0972188,0.0677813,0.00675,-0.221094
-4.9470e-05,0.0999375,0.0689375,0.00484375,-0.19375
-4.9460e-05,0.0963438,0.0650313,0.0053125,-0.15
-4.9450e-05,0.0958125,0.0686563,0.006875,-0.158594
-4.9440e-05,0.0984063,0.0667188,0.007375,-0.157031
-4.9430e-05,0.096,0.068,0.00767188,-0.184375
-4.9420e-05,0.0954375,0.0670938,0.00639062,-0.146875
-4.9410e-05,0.0984375,0.0680625,0.00635938,-0.195312
-4.9400e-05,0.0977188,0.0687188,0.00584375,-0.107031
-4.9390e-05,0.0975313,0.0680313,0.00729688,-0.182031
-4.9380e-05,0.0976563,0.0681563,0.00426563,-0.166406
-4.9370e-05,0.0960313,0.0686563,0.00570313,-0.226562
-4.9360e-05,0.099,0.0673125,0.005625,-0.117969
-4.9350e-05,0.0990313,0.0678438,0.006625,-0.166406
-4.9340e-05,0.097375,0.067875,0.00570313,-0.150781
-4.9330e-05,0.09675,0.0666875,0.00596875,-0.210938
-4.9320e-05,0.09725,0.067625,0.00675,-0.159375
-4.9310e-05,0.0980938,0.0653125,0.0065,-0.189062
-4.9300e-05,0.0973438,0.0685625,0.0055625,-0.14375
-4.9290e-05,0.0956875,0.0664375,0.00476563,-0.157031
-4.9280e-05,0.094625,0.065625,0.00671875,-0.15625
-4.9270e-05,0.0958125,0.0694375,0.00676562,-0.152344
-4.9260e-05,0.0990625,0.0667188,0.00664062,-0.171875
-4.9250e-05,0.0975625,0.0686563,0.0041875,-0.190625
-4.9240e-05,0.0978125,0.0685,0.005625,-0.18125
-4.9230e-05,0.09625,0.0693438,0.0064375,-0.16875
-4.9220e-05,0.100531,0.0665625,0.00539063,-0.191406
-4.9210e-05,0.09575,0.0671875,0.00548437,-0.158594
-4.9200e-05,0.0973125,0.0664688,0.00598438,-0.120312
-4.9190e-05,0.095875,0.06675,0.00740625,-0.225781
-4.9180e-05,0.0994688,0.0685625,0.00873438,-0.161719
-4.9170e-05,0.0979063,0.066125,0.00590625,-0.217969
-4.9160e-05,0.0970313,0.0711563,0.00539063,-0.191406
-4.9150e-05,0.0976875,0.0662813,0.00710938,-0.164062
-4.9140e-05,0.098375,0.0665938,0.00623438,-0.167187
-4.9130e-05,0.098625,0.0676563,0.00490625,-0.1625
