Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.127688,0.106656,0.00489063,-0.160156
-4.9990e-05,0.128813,0.10675,0.00521875,-0.173437
-4.9980e-05,0.130125,0.104406,0.00523437,-0.167969
-4.9970e-05,0.131438,0.107406,0.00617188,-0.108594
-4.9960e-05,0.131469,0.105344,0.00525,-0.174219
-4.9950e-05,0.127969,0.106438,0.006625,-0.154688
-4.9940e-05,0.128281,0.106781,0.00554687,-0.208594
-4.9930e-05,0.131063,0.105281,0.00540625,-0.142187
-4.9920e-05,0.127781,0.107094,0.00603125,-0.136719
-4.9910e-05,0.128688,0.107406,0.00492187,-0.196094
-4.9900e-05,0.129125,0.106281,0.005625,-0.164062
-4.9890e-05,0.130156,0.107469,0.00546875,-0.182812
-4.9880e-05,0.129,0.1055,0.0074375,-0.172656
-4.9870e-05,0.129906,0.105594,0.00595313,-0.151562
-4.9860e-05,0.126906,0.107688,0.0054375,-0.16875
-4.9850e-05,0.127531,0.105469,0.0059375,-0.125
-4.9840e-05,0.130406,0.107875,0.00610938,-0.135156
-4.9830e-05,0.127625,0.105563,0.00571875,-0.124219
-4.9820e-05,0.130156,0.110219,0.00573437,-0.18125
-4.9810e-05,0.128219,0.105344,0.0049375,-0.125781
-4.9800e-05,0.1285,0.103938,0.006375,-0.185938
-4.9790e-05,0.128313,0.105281,0.00673438,-0.110937
-4.9780e-05,0.129406,0.105594,0.00476563,-0.129688
-4.9770e-05,0.130313,0.104438,0.00426563,-0.144531
-4.9760e-05,0.129406,0.106375,0.00564063,-0.144531
-4.9750e-05,0.129719,0.107313,0.0051875,-0.189062
-4.9740e-05,0.128406,0.1055,0.00542187,-0.145313
-4.9730e-05,0.128844,0.105281,0.00639062,-0.186719
-4.9720e-05,0.131094,0.106875,0.00678125,-0.169531
-4.9710e-05,0.125875,0.106125,0.00640625,-0.203125
-4.9700e-05,0.12925,0.106688,0.005625,-0.136719
-4.9690e-05,0.131375,0.107,0.00573437,-0.121875
-4.9680e-05,0.130344,0.105906,0.005,-0.171875
-4.9670e-05,0.128844,0.106531,0.00720312,-0.178125
-4.9660e-05,0.129094,0.1065,0.00607812,-0.220312
-4.9650e-05,0.128813,0.107313,0.00503125,-0.10625
-4.9640e-05,0.132,0.107031,0.00526563,-0.127344
-4.9630e-05,0.1315,0.106,0.00634375,-0.186719
-4.9620e-05,0.130969,0.104969,0.00640625,-0.182031
-4.9610e-05,0.128938,0.1065,0.00592188,-0.114844
-4.9600e-05,0.129719,0.106813,0.007375,-0.13125
-4.9590e-05,0.129344,0.106469,0.00492187,-0.191406
-4.9580e-05,0.130625,0.106844,0.0073125,-0.197656
-4.9570e-05,0.127906,0.106031,0.005625,-0.139844
-4.9560e-05,0.128781,0.106313,0.005,-0.139844
-4.9550e-05,0.129875,0.107406,0.00623438,-0.135156
-4.9540e-05,0.1275,0.106656,0.00589063,-0.217188
-4.9530e-05,0.127719,0.106594,0.00645312,-0.129688
-4.9520e-05,0.128063,0.107906,0.00534375,-0.0953125
-4.9510e-05,0.129438,0.10675,0.0048125,-0.1625
-4.9500e-05,0.130781,0.106656,0.00589063,-0.175
-4.9490e-05,0.128031,0.106,0.00635938,-0.173437
-4.9480e-05,0.130094,0.106938,0.0045625,-0.146875
-4.9470e-05,0.130844,0.106313,0.006,-0.129688
-4.9460e-05,0.128094,0.103844,0.00604688,-0.175
-4.9450e-05,0.129594,0.107156,0.0064375,-0.167969
-4.9440e-05,0.129281,0.105344,0.00632812,-0.138281
-4.9430e-05,0.129969,0.106438,0.00601562,-0.15
-4.9420e-05,0.128563,0.106844,0.00529687,-0.176563
-4.9410e-05,0.131688,0.104969,0.00546875,-0.179688
-4.9400e-05,0.127094,0.107469,0.00482813,-0.150781
-4.9390e-05,0.131813,0.10725,0.00454687,-0.177344
-4.9380e-05,0.128813,0.105219,0.00496875,-0.125781
-4.9370e-05,0.130938,0.108438,0.00509375,-0.123438
-4.9360e-05,0.131094,0.105281,0.00635938,-0.179688
-4.9350e-05,0.130031,0.10425,0.00629688,-0.167969
-4.9340e-05,0.130188,0.107938,0.0068125,-0.158594
-4.9330e-05,0.128563,0.106813,0.00589063,-0.209375
-4.9320e-05,0.125344,0.106375,0.00609375,-0.114844
-4.9310e-05,0.130938,0.106469,0.00670312,-0.0570313
-4.9300e-05,0.12875,0.106688,0.00560937,-0.146094
-4.9290e-05,0.127031,0.105875,0.00539063,-0.146875
-4.9280e-05,0.130031,0.104531,0.00640625,-0.178125
-4.9270e-05,0.126406,0.106531,0.00532813,-0.147656
-4.9260e-05,0.130938,0.106156,0.0054375,-0.120312
-4.9250e-05,0.127438,0.106438,0.0056875,-0.207031
-4.9240e-05,0.129938,0.10475,0.004375,-0.232813
-4.9230e-05,0.130375,0.105938,0.00617188,-0.130469
-4.9220e-05,0.129313,0.106375,0.00551563,-0.110156
-4.9210e-05,0.128656,0.105,0.0035625,-0.117969
-4.9200e-05,0.130156,0.1075,0.005375,-0.133594
-4.9190e-05,0.128625,0.106438,0.00509375,-0.142187
-4.9180e-05,0.130125,0.106125,0.00726562,-0.153125
-4.9170e-05,0.130406,0.105344,0.0068125,-0.151562
-4.9160e-05,0.128563,0.107125,0.0056875,-0.119531
-4.9150e-05,0.125719,0.107219,0.00542187,-0.225781
-4.9140e-05,0.12725,0.1065,0.00559375,-0.134375
-4.9130e-05,0.128938,0.106625,0.00509375,-0.115625
-4.9120e-05,0.129781,0.104688,0.00514063,-0.139063
-4.9110e-05,0.12825,0.104969,0.00570313,-0.154688
-4.9100e-05,0.127969,0.105406,0.00571875,-0.1625
-4.9090e-05,0.129813,0.10425,0.00690625,-0.135156
-4.9080e-05,0.130156,0.105,0.0070625,-0.203125
