Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.127281,0.103281,0.00507813,-0.161719
-4.9990e-05,0.127031,0.103,0.00628125,-0.165625
-4.9980e-05,0.128063,0.102031,0.00635938,-0.2375
-4.9970e-05,0.12775,0.103563,0.00571875,-0.178906
-4.9960e-05,0.127125,0.102281,0.0061875,-0.130469
-4.9950e-05,0.128156,0.103813,0.0075625,-0.0984375
-4.9940e-05,0.127563,0.102875,0.0060625,-0.130469
-4.9930e-05,0.125719,0.10125,0.00746875,-0.192188
-4.9920e-05,0.124875,0.102094,0.006625,-0.188281
-4.9910e-05,0.125844,0.104813,0.0055,-0.178906
-4.9900e-05,0.127188,0.102,0.007125,-0.16875
-4.9890e-05,0.126281,0.105313,0.00539063,-0.141406
-4.9880e-05,0.125281,0.103438,0.00565625,-0.190625
-4.9870e-05,0.128094,0.103875,0.00578125,-0.154688
-4.9860e-05,0.126375,0.103438,0.00704688,-0.152344
-4.9850e-05,0.12725,0.103,0.00617188,-0.167969
-4.9840e-05,0.124875,0.102906,0.00645312,-0.139844
-4.9830e-05,0.126438,0.103406,0.00664062,-0.175781
-4.9820e-05,0.128,0.102375,0.0060625,-0.15625
-4.9810e-05,0.123188,0.103375,0.00645312,-0.171875
-4.9800e-05,0.127375,0.103375,0.00646875,-0.189062
-4.9790e-05,0.127,0.104625,0.00714062,-0.182031
-4.9780e-05,0.128969,0.10025,0.00579687,-0.210938
-4.9770e-05,0.126531,0.102906,0.00645312,-0.204687
-4.9760e-05,0.124844,0.105,0.0068125,-0.127344
-4.9750e-05,0.127906,0.1025,0.00709375,-0.124219
-4.9740e-05,0.125031,0.10375,0.0049375,-0.147656
-4.9730e-05,0.126063,0.100875,0.00620312,-0.185938
-4.9720e-05,0.125469,0.104438,0.00551563,-0.173437
-4.9710e-05,0.126719,0.104344,0.0066875,-0.19375
-4.9700e-05,0.123406,0.102844,0.00703125,-0.136719
-4.9690e-05,0.125938,0.103188,0.00623438,-0.147656
-4.9680e-05,0.126094,0.103531,0.00696875,-0.163281
-4.9670e-05,0.121781,0.104125,0.00654688,-0.171094
-4.9660e-05,0.125438,0.104594,0.0065625,-0.120312
-4.9650e-05,0.128469,0.10375,0.00545313,-0.178906
-4.9640e-05,0.126844,0.103563,0.00739062,-0.135937
-4.9630e-05,0.127969,0.103406,0.00701562,-0.178125
-4.9620e-05,0.127594,0.103094,0.00578125,-0.175781
-4.9610e-05,0.127438,0.104719,0.00667188,-0.202344
-4.9600e-05,0.125906,0.103406,0.00471875,-0.14375
-4.9590e-05,0.127063,0.102594,0.00607812,-0.179688
-4.9580e-05,0.125875,0.105344,0.00703125,-0.182031
-4.9570e-05,0.126938,0.10375,0.00720312,-0.223438
-4.9560e-05,0.124844,0.106,0.00732812,-0.194531
-4.9550e-05,0.126625,0.101875,0.00626562,-0.159375
-4.9540e-05,0.126719,0.105531,0.00653125,-0.202344
-4.9530e-05,0.127313,0.102938,0.00739062,-0.189844
-4.9520e-05,0.126969,0.103844,0.0060625,-0.123438
-4.9510e-05,0.128031,0.104906,0.00498437,-0.170313
-4.9500e-05,0.12675,0.105156,0.00532813,-0.186719
-4.9490e-05,0.127844,0.101906,0.00576563,-0.124219
-4.9480e-05,0.12725,0.104656,0.0065,-0.134375
-4.9470e-05,0.124469,0.101688,0.0075625,-0.185938
-4.9460e-05,0.125594,0.101344,0.00717188,-0.188281
-4.9450e-05,0.125844,0.100688,0.0056875,-0.0789063
-4.9440e-05,0.126125,0.103063,0.00721875,-0.200781
-4.9430e-05,0.1245,0.103,0.00545313,-0.144531
-4.9420e-05,0.124375,0.104094,0.006875,-0.2375
-4.9410e-05,0.124406,0.104313,0.006625,-0.121875
-4.9400e-05,0.125219,0.104656,0.0060625,-0.178125
-4.9390e-05,0.127,0.102313,0.00745312,-0.197656
-4.9380e-05,0.125188,0.103531,0.00596875,-0.164062
-4.9370e-05,0.125094,0.104063,0.00646875,-0.179688
-4.9360e-05,0.126094,0.102625,0.00476563,-0.149219
-4.9350e-05,0.128719,0.104125,0.0065,-0.199219
-4.9340e-05,0.124938,0.10275,0.00507813,-0.160156
-4.9330e-05,0.12475,0.103688,0.00585938,-0.151562
-4.9320e-05,0.129125,0.104906,0.0066875,-0.178906
-4.9310e-05,0.126406,0.103531,0.00614062,-0.152344
-4.9300e-05,0.126281,0.103938,0.00540625,-0.214844
-4.9290e-05,0.125063,0.100406,0.00667188,-0.151562
-4.9280e-05,0.122125,0.106719,0.00498437,-0.186719
-4.9270e-05,0.126344,0.102469,0.00620312,-0.153125
-4.9260e-05,0.127031,0.103656,0.0055,-0.171875
-4.9250e-05,0.127781,0.1035,0.00545313,-0.1375
-4.9240e-05,0.124063,0.102531,0.00528125,-0.189062
-4.9230e-05,0.129438,0.105406,0.0056875,-0.229687
-4.9220e-05,0.127563,0.102094,0.00617188,-0.164062
-4.9210e-05,0.126719,0.100719,0.00654688,-0.171094
-4.9200e-05,0.123906,0.103156,0.00614062,-0.178906
-4.9190e-05,0.126875,0.102969,0.00571875,-0.192969
-4.9180e-05,0.122375,0.102406,0.00634375,-0.154688
-4.9170e-05,0.125969,0.103719,0.00579687,-0.175781
-4.9160e-05,0.125625,0.103438,0.00559375,-0.203906
-4.9150e-05,0.125531,0.103594,0.00765625,-0.158594
-4.9140e-05,0.125156,0.1015,0.00570313,-0.192188
-4.9130e-05,0.124625,0.101438,0.00592188,-0.189062
-4.9120e-05,0.127063,0.104281,0.00607812,-0.203125
-4.9110e-05,0.122688,0.102813,0.00646875,-0.146094
-4.9100e-05,0.125281,0.10225,0.00484375,-0.164844
-4.9090e-05,0.125938,0.103188,0.007,-0.178906
-4.9080e-05,0.126563,0.1035,0.00529687,-0.126562
