Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.106156,0.0465938,0.00635938,-0.180469
-4.9990e-05,0.104344,0.0442813,0.00625,-0.223438
-4.9980e-05,0.105656,0.0454063,0.00603125,-0.216406
-4.9970e-05,0.10725,0.044125,0.00760938,-0.192188
-4.9960e-05,0.105438,0.0448438,0.00685938,-0.200781
-4.9950e-05,0.106719,0.0462813,0.00728125,-0.241406
-4.9940e-05,0.104781,0.0500938,0.0074375,-0.16875
-4.9930e-05,0.109125,0.0432813,0.00717188,-0.232031
-4.9920e-05,0.107938,0.0477813,0.00642188,-0.178125
-4.9910e-05,0.107563,0.0431563,0.0069375,-0.148438
-4.9900e-05,0.106219,0.0448125,0.00510937,-0.221875
-4.9890e-05,0.10575,0.0429688,0.00621875,-0.185156
-4.9880e-05,0.10575,0.0439063,0.00570313,-0.19375
-4.9870e-05,0.105781,0.0459688,0.0065,-0.183594
-4.9860e-05,0.106125,0.0459375,0.00603125,-0.19375
-4.9850e-05,0.101719,0.0456875,0.00523437,-0.184375
-4.9840e-05,0.105438,0.044125,0.00528125,-0.166406
-4.9830e-05,0.107656,0.0475313,0.00632812,-0.194531
-4.9820e-05,0.103969,0.04475,0.00548437,-0.235937
-4.9810e-05,0.106,0.0425313,0.00640625,-0.128906
-4.9800e-05,0.106594,0.0455625,0.00553125,-0.124219
-4.9790e-05,0.107063,0.0448125,0.007625,-0.11875
-4.9780e-05,0.108313,0.0436563,0.00696875,-0.203906
-4.9770e-05,0.108094,0.0438438,0.00576563,-0.159375
-4.9760e-05,0.106313,0.046375,0.00532813,-0.15625
-4.9750e-05,0.108594,0.04475,0.00573437,-0.164062
-4.9740e-05,0.109063,0.04475,0.00545313,-0.1875
-4.9730e-05,0.106813,0.0454063,0.00626562,-0.2125
-4.9720e-05,0.106781,0.0450938,0.00603125,-0.198437
-4.9710e-05,0.107719,0.0434375,0.00584375,-0.19375
-4.9700e-05,0.106469,0.0443438,0.00654688,-0.157031
-4.9690e-05,0.105281,0.0440938,0.00659375,-0.138281
-4.9680e-05,0.10425,0.0454063,0.00657812,-0.166406
-4.9670e-05,0.104906,0.043125,0.00664062,-0.170313
-4.9660e-05,0.107281,0.0425938,0.00771875,-0.189844
-4.9650e-05,0.104625,0.0474688,0.00784375,-0.207031
-4.9640e-05,0.105875,0.0435,0.00620312,-0.175781
-4.9630e-05,0.105688,0.0436875,0.0071875,-0.153906
-4.9620e-05,0.105563,0.0455,0.00667188,-0.194531
-4.9610e-05,0.107094,0.0451563,0.0063125,-0.171875
-4.9600e-05,0.107,0.0463125,0.006,-0.184375
-4.9590e-05,0.108094,0.0432188,0.00582813,-0.147656
-4.9580e-05,0.109625,0.0410313,0.00459375,-0.196094
-4.9570e-05,0.108406,0.0450625,0.00696875,-0.132812
-4.9560e-05,0.107094,0.043,0.00671875,-0.111719
-4.9550e-05,0.106375,0.04275,0.00595313,-0.148438
-4.9540e-05,0.104906,0.043,0.00610938,-0.184375
-4.9530e-05,0.107719,0.045875,0.00601562,-0.185156
-4.9520e-05,0.105906,0.0445,0.00626562,-0.123438
-4.9510e-05,0.106406,0.0420313,0.00651562,-0.167187
-4.9500e-05,0.106375,0.0440313,0.0060625,-0.25625
-4.9490e-05,0.108969,0.045,0.0054375,-0.246094
-4.9480e-05,0.106094,0.0440938,0.00615625,-0.185156
-4.9470e-05,0.107656,0.04375,0.00507813,-0.199219
-4.9460e-05,0.108813,0.0430625,0.00514063,-0.183594
-4.9450e-05,0.108469,0.04475,0.00695312,-0.210156
-4.9440e-05,0.108188,0.044,0.00720312,-0.136719
-4.9430e-05,0.107594,0.0452813,0.00678125,-0.189844
-4.9420e-05,0.106313,0.0441875,0.00684375,-0.21875
-4.9410e-05,0.106438,0.0454688,0.00534375,-0.157812
-4.9400e-05,0.106,0.0435625,0.00671875,-0.214844
-4.9390e-05,0.104719,0.04325,0.00534375,-0.194531
-4.9380e-05,0.105094,0.04325,0.00745312,-0.185156
-4.9370e-05,0.107156,0.0446563,0.0064375,-0.135156
-4.9360e-05,0.105344,0.0446875,0.006125,-0.196094
-4.9350e-05,0.106375,0.0464375,0.00776562,-0.163281
-4.9340e-05,0.107906,0.0475625,0.0055625,-0.157812
-4.9330e-05,0.10425,0.0436563,0.00596875,-0.127344
-4.9320e-05,0.106281,0.0424688,0.0061875,-0.191406
-4.9310e-05,0.106375,0.0432188,0.00560937,-0.104687
-4.9300e-05,0.106031,0.0442188,0.003875,-0.15625
-4.9290e-05,0.107969,0.047125,0.0056875,-0.154688
-4.9280e-05,0.106531,0.0443438,0.00465625,-0.20625
-4.9270e-05,0.107188,0.0446875,0.00582813,-0.235156
-4.9260e-05,0.107969,0.0406875,0.0054375,-0.207031
-4.9250e-05,0.108281,0.0469688,0.004125,-0.185938
-4.9240e-05,0.107344,0.0425313,0.00490625,-0.213281
-4.9230e-05,0.106656,0.0440938,0.00523437,-0.200781
-4.9220e-05,0.107469,0.0450313,0.00553125,-0.192969
-4.9210e-05,0.105188,0.0421563,0.00592188,-0.204687
-4.9200e-05,0.107344,0.0435313,0.00545313,-0.176563
-4.9190e-05,0.103375,0.0448125,0.00625,-0.153125
-4.9180e-05,0.105031,0.0450938,0.00598438,-0.153125
-4.9170e-05,0.105719,0.0435938,0.00667188,-0.175781
-4.9160e-05,0.106031,0.0440313,0.006625,-0.188281
-4.9150e-05,0.104719,0.044375,0.00664062,-0.201563
-4.9140e-05,0.106031,0.0436563,0.0061875,-0.121875
-4.9130e-05,0.106938,0.0433125,0.00740625,-0.161719
-4.9120e-05,0.107531,0.0435625,0.00745312,-0.174219
-4.9110e-05,0.107406,0.0445,0.00673438,-0.171094
