Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.0982188,0.0679063,0.00673438,-0.142187
-4.9990e-05,0.0964688,0.0651563,0.00648438,-0.149219
-4.9980e-05,0.100594,0.06575,0.00601562,-0.130469
-4.9970e-05,0.09775,0.0645313,0.00532813,-0.258594
-4.9960e-05,0.0957188,0.0639688,0.0066875,-0.201563
-4.9950e-05,0.0999688,0.064625,0.00620312,-0.177344
-4.9940e-05,0.0978438,0.066875,0.00678125,-0.178906
-4.9930e-05,0.097,0.0646875,0.0070625,-0.16875
-4.9920e-05,0.0984375,0.06475,0.00640625,-0.185156
-4.9910e-05,0.09525,0.06575,0.00498437,-0.14375
-4.9900e-05,0.0956875,0.0652813,0.006875,-0.157812
-4.9890e-05,0.0972188,0.0639063,0.00575,-0.159375
-4.9880e-05,0.0980313,0.0669063,0.00790625,-0.182031
-4.9870e-05,0.096625,0.0631875,0.00670312,-0.175
-4.9860e-05,0.0971875,0.0666875,0.0060625,-0.213281
-4.9850e-05,0.0982813,0.0641875,0.00692188,-0.185156
-4.9840e-05,0.0962813,0.0653125,0.00640625,-0.213281
-4.9830e-05,0.09825,0.0647188,0.00628125,-0.163281
-4.9820e-05,0.0968125,0.0646563,0.00603125,-0.196875
-4.9810e-05,0.097,0.06475,0.00610938,-0.172656
-4.9800e-05,0.0974375,0.0630938,0.00714062,-0.169531
-4.9790e-05,0.09275,0.067,0.0063125,-0.15625
-4.9780e-05,0.0969063,0.063875,0.006,-0.174219
-4.9770e-05,0.0975313,0.063125,0.00570313,-0.186719
-4.9760e-05,0.0981875,0.0661875,0.00725,-0.15625
-4.9750e-05,0.0948438,0.06375,0.0075,-0.182812
-4.9740e-05,0.096875,0.0665,0.00596875,-0.192188
-4.9730e-05,0.096625,0.0639375,0.00757812,-0.179688
-4.9720e-05,0.0971563,0.0655938,0.007625,-0.20625
-4.9710e-05,0.0964063,0.0656875,0.00770312,-0.119531
-4.9700e-05,0.0965313,0.0640625,0.007625,-0.167969
-4.9690e-05,0.0969375,0.062875,0.0081875,-0.180469
-4.9680e-05,0.0985,0.0626563,0.00698438,-0.214062
-4.9670e-05,0.0986875,0.0634688,0.00723438,-0.216406
-4.9660e-05,0.0962188,0.065375,0.00604688,-0.140625
-4.9650e-05,0.0965313,0.063375,0.00704688,-0.13125
-4.9640e-05,0.0988438,0.0649375,0.00657812,-0.228125
-4.9630e-05,0.09675,0.0649688,0.00554687,-0.164844
-4.9620e-05,0.0945625,0.0655938,0.00601562,-0.226562
-4.9610e-05,0.0973125,0.0628438,0.00645312,-0.18125
-4.9600e-05,0.0975313,0.0635,0.00659375,-0.214062
-4.9590e-05,0.0978438,0.0655938,0.00642188,-0.229687
-4.9580e-05,0.0982813,0.0639688,0.00601562,-0.125
-4.9570e-05,0.0972813,0.0636875,0.00582813,-0.20625
-4.9560e-05,0.09875,0.06675,0.00857812,-0.192188
-4.9550e-05,0.0980625,0.0638125,0.0081875,-0.178125
-4.9540e-05,0.0985,0.0646563,0.00610938,-0.195312
-4.9530e-05,0.0988438,0.0645938,0.00571875,-0.153125
-4.9520e-05,0.0953438,0.06325,0.00614062,-0.185156
-4.9510e-05,0.0960625,0.063625,0.00634375,-0.116406
-4.9500e-05,0.0954688,0.063125,0.00653125,-0.144531
-4.9490e-05,0.0958438,0.0659688,0.007625,-0.201563
-4.9480e-05,0.09875,0.0631875,0.007,-0.217188
-4.9470e-05,0.0969063,0.0666875,0.005375,-0.189062
-4.9460e-05,0.0959063,0.0644063,0.0069375,-0.15625
-4.9450e-05,0.0979063,0.063875,0.0068125,-0.205469
-4.9440e-05,0.096625,0.0643125,0.00620312,-0.157031
-4.9430e-05,0.09775,0.0649688,0.007125,-0.185156
-4.9420e-05,0.0985313,0.0631875,0.00676562,-0.230469
-4.9410e-05,0.09575,0.0640625,0.00803125,-0.197656
-4.9400e-05,0.0964063,0.0653438,0.00692188,-0.164062
-4.9390e-05,0.096375,0.0653438,0.00796875,-0.161719
-4.9380e-05,0.0957813,0.0643438,0.00682812,-0.194531
-4.9370e-05,0.0964688,0.0648438,0.006875,-0.194531
-4.9360e-05,0.0966875,0.063125,0.006375,-0.180469
-4.9350e-05,0.0968125,0.0645625,0.00557813,-0.208594
-4.9340e-05,0.100281,0.0633438,0.006,-0.152344
-4.9330e-05,0.094125,0.0644375,0.00534375,-0.157812
-4.9320e-05,0.0989375,0.0626875,0.00539063,-0.224219
-4.9310e-05,0.0979063,0.061875,0.0058125,-0.15625
-4.9300e-05,0.096625,0.063625,0.00579687,-0.233594
-4.9290e-05,0.0940313,0.06575,0.00528125,-0.18125
-4.9280e-05,0.0980313,0.064,0.00535937,-0.204687
-4.9270e-05,0.0964688,0.065875,0.00732812,-0.192188
-4.9260e-05,0.0982188,0.0628438,0.00703125,-0.146094
-4.9250e-05,0.0975938,0.0644688,0.00528125,-0.149219
-4.9240e-05,0.096875,0.0654063,0.00739062,-0.196094
-4.9230e-05,0.0977188,0.0641563,0.00615625,-0.180469
-4.9220e-05,0.09575,0.0654063,0.0070625,-0.15
-4.9210e-05,0.0959375,0.06275,0.00646875,-0.161719
-4.9200e-05,0.0971875,0.063375,0.00689062,-0.151562
-4.9190e-05,0.0981563,0.0629063,0.00698438,-0.172656
-4.9180e-05,0.096,0.0647188,0.00657812,-0.159375
-4.9170e-05,0.0990313,0.0632813,0.00790625,-0.195312
-4.9160e-05,0.0979688,0.0641563,0.00748438,-0.146875
-4.9150e-05,0.0975938,0.065,0.00692188,-0.159375
-4.9140e-05,0.098875,0.063375,0.00660938,-0.207031
-4.9130e-05,0.096,0.0655938,0.00651562,-0.161719
-4.9120e-05,0.096875,0.0655,0.00625,-0.152344
