Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.109438,0.0889063,0.00470313,-0.18125
-4.9990e-05,0.109563,0.0879375,0.004625,-0.172656
-4.9980e-05,0.110656,0.0887813,0.0055,-0.199219
-4.9970e-05,0.111,0.0871563,0.0055625,-0.160156
-4.9960e-05,0.108188,0.0885938,0.0049375,-0.207031
-4.9950e-05,0.107344,0.0864375,0.0043125,-0.189844
-4.9940e-05,0.108188,0.0879688,0.00495313,-0.192969
-4.9930e-05,0.109375,0.0875938,0.00570313,-0.164062
-4.9920e-05,0.104219,0.0866875,0.00621875,-0.175
-4.9910e-05,0.108344,0.0865313,0.00601562,-0.188281
-4.9900e-05,0.108531,0.0851563,0.00645312,-0.145313
-4.9890e-05,0.106313,0.0886563,0.00557813,-0.19375
-4.9880e-05,0.110594,0.085875,0.00667188,-0.225781
-4.9870e-05,0.108656,0.085875,0.0064375,-0.200781
-4.9860e-05,0.108719,0.0871875,0.00565625,-0.182812
-4.9850e-05,0.10875,0.090875,0.0056875,-0.191406
-4.9840e-05,0.110219,0.084875,0.00553125,-0.166406
-4.9830e-05,0.112031,0.0880313,0.00767188,-0.157031
-4.9820e-05,0.11025,0.0855,0.00539063,-0.171875
-4.9810e-05,0.108469,0.085375,0.0049375,-0.164844
-4.9800e-05,0.10875,0.0896875,0.00657812,-0.146875
-4.9790e-05,0.106719,0.0866875,0.00648438,-0.164062
-4.9780e-05,0.108438,0.0880313,0.00714062,-0.178125
-4.9770e-05,0.107563,0.087,0.00520313,-0.0804688
-4.9760e-05,0.105125,0.0890938,0.00515625,-0.148438
-4.9750e-05,0.106813,0.0879063,0.00545313,-0.211719
-4.9740e-05,0.109219,0.0862188,0.00625,-0.145313
-4.9730e-05,0.11025,0.089125,0.00554687,-0.16875
-4.9720e-05,0.106719,0.0870938,0.005625,-0.175781
-4.9710e-05,0.105438,0.0889063,0.00498437,-0.146094
-4.9700e-05,0.109406,0.0886875,0.0069375,-0.146875
-4.9690e-05,0.107688,0.0873125,0.00467187,-0.202344
-4.9680e-05,0.107375,0.0874063,0.00639062,-0.142969
-4.9670e-05,0.107438,0.0884063,0.0045,-0.217188
-4.9660e-05,0.109656,0.0872813,0.00721875,-0.189062
-4.9650e-05,0.109063,0.087625,0.00464063,-0.174219
-4.9640e-05,0.10775,0.0864688,0.00484375,-0.167187
-4.9630e-05,0.106781,0.0894688,0.00632812,-0.173437
-4.9620e-05,0.108438,0.0871875,0.005,-0.16875
-4.9610e-05,0.108781,0.087,0.00592188,-0.135937
-4.9600e-05,0.111,0.0861563,0.00564063,-0.157812
-4.9590e-05,0.109188,0.0879375,0.00632812,-0.257031
-4.9580e-05,0.110688,0.0872813,0.00476563,-0.196875
-4.9570e-05,0.108844,0.0880625,0.00598438,-0.160156
-4.9560e-05,0.108625,0.0891875,0.00603125,-0.16875
-4.9550e-05,0.108219,0.0862188,0.00634375,-0.195312
-4.9540e-05,0.109313,0.0878438,0.00685938,-0.171094
-4.9530e-05,0.109125,0.0874375,0.00560937,-0.2
-4.9520e-05,0.106656,0.08875,0.005625,-0.196094
-4.9510e-05,0.108125,0.086125,0.00542187,-0.176563
-4.9500e-05,0.109219,0.0869688,0.00589063,-0.107813
-4.9490e-05,0.108344,0.0872188,0.0059375,-0.195312
-4.9480e-05,0.111938,0.087125,0.0061875,-0.196875
-4.9470e-05,0.108406,0.0859063,0.00540625,-0.189844
-4.9460e-05,0.1105,0.087,0.00510937,-0.216406
-4.9450e-05,0.109281,0.0864063,0.00473437,-0.159375
-4.9440e-05,0.109906,0.087375,0.00517187,-0.175781
-4.9430e-05,0.109469,0.086625,0.00651562,-0.159375
-4.9420e-05,0.109344,0.0881875,0.00698438,-0.202344
-4.9410e-05,0.10775,0.0891563,0.00575,-0.217969
-4.9400e-05,0.108063,0.0880625,0.00490625,-0.222656
-4.9390e-05,0.106156,0.0857813,0.00609375,-0.157031
-4.9380e-05,0.109625,0.0899063,0.00626562,-0.199219
-4.9370e-05,0.109031,0.0872813,0.006125,-0.203125
-4.9360e-05,0.112313,0.08875,0.00542187,-0.13125
-4.9350e-05,0.106594,0.0869375,0.00540625,-0.185938
-4.9340e-05,0.110406,0.0860938,0.00567187,-0.170313
-4.9330e-05,0.108406,0.0888438,0.00551563,-0.121875
-4.9320e-05,0.109438,0.0880313,0.004875,-0.166406
-4.9310e-05,0.109125,0.0861563,0.00390625,-0.172656
-4.9300e-05,0.107406,0.0876563,0.00717188,-0.146094
-4.9290e-05,0.11075,0.0852188,0.007,-0.140625
-4.9280e-05,0.105406,0.0879063,0.00609375,-0.166406
-4.9270e-05,0.107469,0.087375,0.00576563,-0.180469
-4.9260e-05,0.109625,0.0873438,0.0049375,-0.2
-4.9250e-05,0.107063,0.089625,0.00773438,-0.188281
-4.9240e-05,0.109938,0.0890625,0.0075625,-0.191406
-4.9230e-05,0.108313,0.087875,0.0055,-0.189062
-4.9220e-05,0.107938,0.0888125,0.00465625,-0.1375
-4.9210e-05,0.110906,0.0874063,0.00639062,-0.214062
-4.9200e-05,0.11,0.0854063,0.00615625,-0.165625
-4.9190e-05,0.109344,0.087,0.00540625,-0.198437
-4.9180e-05,0.111906,0.0863438,0.00484375,-0.130469
-4.9170e-05,0.108531,0.0870938,0.00578125,-0.166406
-4.9160e-05,0.110344,0.0855313,0.00509375,-0.228906
-4.9150e-05,0.109531,0.0862188,0.00682812,-0.167969
-4.9140e-05,0.109656,0.0888125,0.0058125,-0.146094
-4.9130e-05,0.108563,0.085,0.00551563,-0.123438
-4.9120e-05,0.107969,0.0885,0.00498437,-0.174219
-4.9110e-05,0.105281,0.0891875,0.00514063,-0.177344
-4.9100e-05,0.109594,0.0873125,0.005625,-0.252344
