Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.2,0.1,5
Vertical Position,-3.08,-1.58,-0.7,-0.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.0920781,0.0775937,0.00740625,-0.213281
-4.9990e-05,0.0920547,0.0774375,0.0074375,-0.241406
-4.9980e-05,0.0914531,0.0768437,0.0069375,-0.214844
-4.9970e-05,0.0926875,0.0759063,0.00640625,-0.259375
-4.9960e-05,0.0918203,0.0769063,0.005875,-0.228906
-4.9950e-05,0.0915391,0.0790625,0.00759375,-0.199219
-4.9940e-05,0.0921797,0.07525,0.00753125,-0.228125
-4.9930e-05,0.0920156,0.0770312,0.0064375,-0.235156
-4.9920e-05,0.0926094,0.0775312,0.00696875,-0.2625
-4.9910e-05,0.0919453,0.0761875,0.00685938,-0.267969
-4.9900e-05,0.0921172,0.0765625,0.006,-0.225781
-4.9890e-05,0.0919453,0.0740937,0.00770313,-0.2625
-4.9880e-05,0.0908984,0.0748125,0.00723438,-0.239844
-4.9870e-05,0.0910938,0.0754688,0.00714063,-0.215625
-4.9860e-05,0.0897422,0.0740937,0.00732813,-0.255469
-4.9850e-05,0.0900625,0.075125,0.007125,-0.236719
-4.9840e-05,0.0897422,0.074,0.00703125,-0.25
-4.9830e-05,0.0892969,0.0766563,0.00614063,-0.175781
-4.9820e-05,0.089875,0.0759375,0.007375,-0.242969
-4.9810e-05,0.0896094,0.0775,0.00626563,-0.2125
-4.9800e-05,0.0908281,0.07725,0.00695313,-0.246875
-4.9790e-05,0.0897734,0.0754688,0.00679688,-0.259375
-4.9780e-05,0.0911641,0.0763125,0.00621875,-0.240625
-4.9770e-05,0.0913047,0.0774375,0.00667188,-0.244531
-4.9760e-05,0.0911406,0.077375,0.00725,-0.2
-4.9750e-05,0.0926328,0.0757188,0.0076875,-0.238281
-4.9740e-05,0.0924141,0.0780312,0.00665625,-0.211719
-4.9730e-05,0.0925547,0.0768125,0.0069375,-0.203125
-4.9720e-05,0.0922969,0.0750937,0.00692188,-0.265625
-4.9710e-05,0.0915781,0.0751875,0.00639063,-0.25
-4.9700e-05,0.0921172,0.0743125,0.0066875,-0.197656
-4.9690e-05,0.0902188,0.0761875,0.00478125,-0.290625
-4.9680e-05,0.0916797,0.0762812,0.0064375,-0.284375
-4.9670e-05,0.0918516,0.0763437,0.00610938,-0.248437
-4.9660e-05,0.0916172,0.0762812,0.00717188,-0.209375
-4.9650e-05,0.0916484,0.0745,0.0061875,-0.260156
-4.9640e-05,0.0905781,0.0755312,0.00579688,-0.227344
-4.9630e-05,0.0913828,0.075,0.00809375,-0.232812
-4.9620e-05,0.0897734,0.0735625,0.00665625,-0.227344
-4.9610e-05,0.0900469,0.0762812,0.00625,-0.242188
-4.9600e-05,0.0907188,0.0769688,0.00704688,-0.222656
-4.9590e-05,0.0896953,0.0745312,0.0074375,-0.167187
-4.9580e-05,0.0905234,0.0782188,0.00609375,-0.253906
-4.9570e-05,0.0892578,0.074,0.007875,-0.240625
-4.9560e-05,0.0902031,0.0753437,0.00773438,-0.222656
-4.9550e-05,0.0911641,0.0762812,0.00620313,-0.2
-4.9540e-05,0.0908281,0.0761563,0.00601563,-0.242969
-4.9530e-05,0.0911641,0.0757812,0.00695313,-0.266406
-4.9520e-05,0.0915078,0.0743125,0.00710938,-0.225781
-4.9510e-05,0.0922187,0.0779688,0.00701563,-0.210938
-4.9500e-05,0.0929531,0.0765,0.006125,-0.242969
-4.9490e-05,0.0919062,0.07425,0.0071875,-0.21875
-4.9480e-05,0.0926719,0.0765312,0.00765625,-0.229687
-4.9470e-05,0.0920625,0.0774375,0.00595313,-0.247656
-4.9460e-05,0.0924687,0.0758125,0.00678125,-0.225781
-4.9450e-05,0.0916484,0.075,0.00678125,-0.2625
-4.9440e-05,0.09075,0.0765312,0.00757813,-0.203125
-4.9430e-05,0.092125,0.0762188,0.00603125,-0.253906
-4.9420e-05,0.0914922,0.076,0.00539063,-0.249219
-4.9410e-05,0.0915859,0.0754063,0.00654688,-0.254687
-4.9400e-05,0.0913828,0.0757812,0.0064375,-0.178125
-4.9390e-05,0.0913672,0.0755312,0.0055625,-0.28125
-4.9380e-05,0.0916875,0.0759063,0.00528125,-0.219531
-4.9370e-05,0.0910234,0.0769688,0.00635938,-0.303125
-4.9360e-05,0.0912344,0.0759063,0.00570313,-0.250781
-4.9350e-05,0.0906719,0.0764375,0.00609375,-0.210156
-4.9340e-05,0.0912188,0.0757812,0.00582813,-0.216406
-4.9330e-05,0.0905781,0.0779063,0.0079375,-0.264062
-4.9320e-05,0.0907188,0.075625,0.00789063,-0.285937
-4.9310e-05,0.0913281,0.076375,0.0075,-0.175781
-4.9300e-05,0.0916797,0.076625,0.00798438,-0.273438
-4.9290e-05,0.0912734,0.0719375,0.00626563,-0.24375
-4.9280e-05,0.0918281,0.07525,0.00732813,-0.201562
-4.9270e-05,0.0913828,0.0754688,0.00853125,-0.2375
-4.9260e-05,0.0919375,0.075625,0.0076875,-0.242969
-4.9250e-05,0.0916797,0.0758125,0.0060625,-0.192969
-4.9240e-05,0.0914141,0.0767188,0.00635938,-0.247656
-4.9230e-05,0.0913984,0.0757812,0.00578125,-0.272656
-4.9220e-05,0.0909062,0.07425,0.0061875,-0.258594
-4.9210e-05,0.090875,0.0741875,0.00503125,-0.247656
-4.9200e-05,0.0899297,0.0746875,0.00653125,-0.255469
-4.9190e-05,0.0900078,0.0756875,0.00670313,-0.220312
-4.9180e-05,0.0892109,0.0770937,0.00642188,-0.271875
-4.9170e-05,0.0907891,0.0785312,0.00654688,-0.208594
-4.9160e-05,0.0902344,0.0749063,0.0078125,-0.226562
-4.9150e-05,0.0909531,0.0759063,0.0083125,-0.207812
-4.9140e-05,0.0921797,0.0766563,0.00792188,-0.291406
-4.9130e-05,0.091375,0.0786563,0.005625,-0.242188
