Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.2,0.1,5
Vertical Position,-3.08,-1.58,-0.7,-0.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.0765234,0.065625,0.00690625,-0.266406
-4.9990e-05,0.0761484,0.0618125,0.0060625,-0.241406
-4.9980e-05,0.0755391,0.0639062,0.00692188,-0.251562
-4.9970e-05,0.0768984,0.0634375,0.00692188,-0.246875
-4.9960e-05,0.0748047,0.0611875,0.00654688,-0.233594
-4.9950e-05,0.0759531,0.0652813,0.00635938,-0.225
-4.9940e-05,0.0757344,0.0638125,0.00546875,-0.213281
-4.9930e-05,0.0754453,0.0641875,0.00779688,-0.228906
-4.9920e-05,0.0757656,0.0652813,0.007875,-0.283594
-4.9910e-05,0.0752812,0.0632813,0.00732813,-0.21875
-4.9900e-05,0.0757969,0.063625,0.00592188,-0.228125
-4.9890e-05,0.0754297,0.0645625,0.006125,-0.222656
-4.9880e-05,0.0761406,0.0621875,0.00764063,-0.208594
-4.9870e-05,0.0761953,0.0641562,0.00760938,-0.250781
-4.9860e-05,0.0759219,0.0658437,0.00635938,-0.223437
-4.9850e-05,0.0769766,0.0653125,0.00629688,-0.174219
-4.9840e-05,0.0771328,0.0633125,0.00678125,-0.217969
-4.9830e-05,0.0772656,0.0635625,0.0060625,-0.2
-4.9820e-05,0.0774141,0.0648437,0.00621875,-0.222656
-4.9810e-05,0.0764766,0.0649062,0.00489063,-0.203125
-4.9800e-05,0.0781953,0.0657813,0.0068125,-0.186719
-4.9790e-05,0.0774844,0.0642813,0.0068125,-0.208594
-4.9780e-05,0.0762344,0.0655938,0.00570313,-0.174219
-4.9770e-05,0.0775625,0.065,0.00760938,-0.182812
-4.9760e-05,0.0761953,0.0649375,0.00607813,-0.217187
-4.9750e-05,0.0772188,0.0649375,0.00748438,-0.23125
-4.9740e-05,0.0768672,0.0645312,0.0074375,-0.236719
-4.9730e-05,0.0776328,0.0648437,0.007875,-0.225781
-4.9720e-05,0.0779922,0.0651875,0.00682813,-0.159375
-4.9710e-05,0.0765469,0.0658437,0.00565625,-0.2125
-4.9700e-05,0.0769844,0.0668125,0.00535937,-0.216406
-4.9690e-05,0.0774375,0.0657813,0.00601563,-0.211719
-4.9680e-05,0.0772656,0.06725,0.00553125,-0.240625
-4.9670e-05,0.0761328,0.06425,0.00640625,-0.253906
-4.9660e-05,0.0764375,0.067375,0.00665625,-0.183594
-4.9650e-05,0.0758828,0.0637813,0.00576563,-0.289844
-4.9640e-05,0.0763906,0.063375,0.00642188,-0.241406
-4.9630e-05,0.0766562,0.0644375,0.00790625,-0.245312
-4.9620e-05,0.0760938,0.0627187,0.00653125,-0.18125
-4.9610e-05,0.0765938,0.0647813,0.0073125,-0.189844
-4.9600e-05,0.0771641,0.063,0.00725,-0.239062
-4.9590e-05,0.0767891,0.0636875,0.0061875,-0.25
-4.9580e-05,0.0769609,0.0640312,0.0061875,-0.267969
-4.9570e-05,0.0774219,0.063375,0.00660938,-0.19375
-4.9560e-05,0.0766719,0.0630938,0.00573437,-0.149219
-4.9550e-05,0.0774297,0.0657187,0.00675,-0.228906
-4.9540e-05,0.0762031,0.0625938,0.00545313,-0.258594
-4.9530e-05,0.0774844,0.0651875,0.00707813,-0.233594
-4.9520e-05,0.076,0.0645,0.00690625,-0.239844
-4.9510e-05,0.0764609,0.0664375,0.00660938,-0.2
-4.9500e-05,0.0763828,0.0646875,0.007125,-0.24375
-4.9490e-05,0.0754609,0.0650938,0.00723438,-0.23125
-4.9480e-05,0.0776797,0.0659375,0.00734375,-0.196875
-4.9470e-05,0.0764453,0.0650938,0.00667188,-0.264844
-4.9460e-05,0.0773984,0.067875,0.00696875,-0.284375
-4.9450e-05,0.0770625,0.0670938,0.00635938,-0.253906
-4.9440e-05,0.0768672,0.0675938,0.00657813,-0.219531
-4.9430e-05,0.0778203,0.0644688,0.00717188,-0.232031
-4.9420e-05,0.0767266,0.0638437,0.00621875,-0.276562
-4.9410e-05,0.0771641,0.0649062,0.00675,-0.189844
-4.9400e-05,0.0769297,0.0648437,0.006375,-0.244531
-4.9390e-05,0.0769609,0.06425,0.0069375,-0.285937
-4.9380e-05,0.0774531,0.0652187,0.00803125,-0.253125
-4.9370e-05,0.0762422,0.0649688,0.00728125,-0.242188
-4.9360e-05,0.0760156,0.0652187,0.006125,-0.261719
-4.9350e-05,0.0764219,0.0628125,0.00592188,-0.235937
-4.9340e-05,0.0752188,0.0615,0.0065,-0.177344
-4.9330e-05,0.0764219,0.0621875,0.00692188,-0.239062
-4.9320e-05,0.0748203,0.0645625,0.00682813,-0.263281
-4.9310e-05,0.0763984,0.0652813,0.00748438,-0.204687
-4.9300e-05,0.0763828,0.0655312,0.00751563,-0.185937
-4.9290e-05,0.075625,0.0654375,0.00689063,-0.235156
-4.9280e-05,0.0766719,0.0667812,0.00651563,-0.210938
-4.9270e-05,0.0754219,0.0624375,0.00520313,-0.270312
-4.9260e-05,0.07675,0.0631875,0.00654688,-0.247656
-4.9250e-05,0.0761562,0.0637187,0.00575,-0.264844
-4.9240e-05,0.0758984,0.0637813,0.00585938,-0.271094
-4.9230e-05,0.0766719,0.0647813,0.00742188,-0.286719
-4.9220e-05,0.0770078,0.06525,0.0078125,-0.235156
-4.9210e-05,0.0774219,0.06325,0.00759375,-0.264844
-4.9200e-05,0.076625,0.0631563,0.00664063,-0.204687
-4.9190e-05,0.0767891,0.0645312,0.00676563,-0.26875
-4.9180e-05,0.0772031,0.0637813,0.00884375,-0.272656
-4.9170e-05,0.0768359,0.063625,0.00615625,-0.224219
-4.9160e-05,0.0769609,0.065875,0.0073125,-0.19375
-4.9150e-05,0.0769062,0.0645938,0.00729688,-0.180469
-4.9140e-05,0.0766094,0.06325,0.006375,-0.270312
-4.9130e-05,0.0773125,0.0633125,0.00628125,-0.203125
