Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.2,0.1,5
Vertical Position,-3.08,-1.58,-0.7,-0.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.08375,0.0669063,0.00703125,-0.239844
-4.9990e-05,0.0830859,0.0669375,0.00725,-0.239062
-4.9980e-05,0.0821797,0.0695625,0.00623438,-0.25625
-4.9970e-05,0.0830937,0.0684687,0.00721875,-0.216406
-4.9960e-05,0.0821719,0.0701563,0.007875,-0.295312
-4.9950e-05,0.0829687,0.0680312,0.00617188,-0.232031
-4.9940e-05,0.0831641,0.0686563,0.00626563,-0.230469
-4.9930e-05,0.0832031,0.0674063,0.00576563,-0.210938
-4.9920e-05,0.0833672,0.0668125,0.00598438,-0.277344
-4.9910e-05,0.0834531,0.0716563,0.00645313,-0.285937
-4.9900e-05,0.0834531,0.0694063,0.00703125,-0.285156
-4.9890e-05,0.0826016,0.0680625,0.00676563,-0.23125
-4.9880e-05,0.0815078,0.0675312,0.00782813,-0.194531
-4.9870e-05,0.0806641,0.0683125,0.00782813,-0.278906
-4.9860e-05,0.0815937,0.0663125,0.0090625,-0.249219
-4.9850e-05,0.0816094,0.0701875,0.00765625,-0.185937
-4.9840e-05,0.0802812,0.0685938,0.00726563,-0.207031
-4.9830e-05,0.0823672,0.0682187,0.00701563,-0.216406
-4.9820e-05,0.0822734,0.071,0.00639063,-0.289844
-4.9810e-05,0.0825859,0.0671875,0.00707813,-0.3
-4.9800e-05,0.0845234,0.0695625,0.00639063,-0.242188
-4.9790e-05,0.0827422,0.0679375,0.00504688,-0.222656
-4.9780e-05,0.0851797,0.0687812,0.00548437,-0.228906
-4.9770e-05,0.0844141,0.0688125,0.00670313,-0.210938
-4.9760e-05,0.0840937,0.0683125,0.00682813,-0.29375
-4.9750e-05,0.0840078,0.0667812,0.00571875,-0.261719
-4.9740e-05,0.0826875,0.068875,0.00648438,-0.238281
-4.9730e-05,0.0831406,0.066125,0.00540625,-0.24375
-4.9720e-05,0.0819844,0.0686875,0.0070625,-0.273438
-4.9710e-05,0.0817734,0.0687812,0.00590625,-0.201562
-4.9700e-05,0.0826484,0.0710312,0.0075625,-0.225
-4.9690e-05,0.0813672,0.0674375,0.00634375,-0.232031
-4.9680e-05,0.0817812,0.0685625,0.005625,-0.235156
-4.9670e-05,0.0815312,0.0660312,0.00609375,-0.28125
-4.9660e-05,0.0819141,0.0676875,0.00660938,-0.276562
-4.9650e-05,0.0825469,0.0659688,0.00721875,-0.257812
-4.9640e-05,0.0814531,0.06825,0.00717188,-0.230469
-4.9630e-05,0.0816328,0.065875,0.0071875,-0.228906
-4.9620e-05,0.0814062,0.0687187,0.008,-0.271094
-4.9610e-05,0.0818906,0.067,0.0075625,-0.229687
-4.9600e-05,0.0812266,0.0669063,0.00714063,-0.245312
-4.9590e-05,0.0812031,0.0675312,0.00540625,-0.263281
-4.9580e-05,0.0818984,0.0684375,0.00795313,-0.285156
-4.9570e-05,0.0824766,0.06975,0.00734375,-0.20625
-4.9560e-05,0.0833672,0.0712187,0.00657813,-0.265625
-4.9550e-05,0.0838359,0.0689687,0.0055,-0.216406
-4.9540e-05,0.0829531,0.06625,0.00628125,-0.25625
-4.9530e-05,0.0852891,0.068625,0.0059375,-0.288281
-4.9520e-05,0.083625,0.0660938,0.00660938,-0.276562
-4.9510e-05,0.0845625,0.0680625,0.00629688,-0.259375
-4.9500e-05,0.0832734,0.0655625,0.0070625,-0.225781
-4.9490e-05,0.083,0.0697187,0.005625,-0.252344
-4.9480e-05,0.0828359,0.0689063,0.00576563,-0.257031
-4.9470e-05,0.0823203,0.06675,0.007875,-0.300781
-4.9460e-05,0.0819297,0.0655938,0.00560937,-0.267969
-4.9450e-05,0.0822734,0.069125,0.00779688,-0.269531
-4.9440e-05,0.0812812,0.0696563,0.00575,-0.269531
-4.9430e-05,0.0824687,0.0672812,0.00675,-0.236719
-4.9420e-05,0.0822734,0.0693438,0.00692188,-0.210156
-4.9410e-05,0.0834375,0.07,0.0071875,-0.267187
-4.9400e-05,0.0835,0.0683125,0.00710938,-0.253906
-4.9390e-05,0.0830625,0.0683125,0.00715625,-0.2375
-4.9380e-05,0.0829219,0.0692187,0.00682813,-0.282031
-4.9370e-05,0.083,0.0679375,0.00682813,-0.235156
-4.9360e-05,0.0837813,0.0689687,0.006875,-0.240625
-4.9350e-05,0.0823516,0.0694063,0.0080625,-0.300781
-4.9340e-05,0.0819453,0.0691563,0.0065,-0.242969
-4.9330e-05,0.0824922,0.068,0.00678125,-0.251562
-4.9320e-05,0.08225,0.0699375,0.00682813,-0.233594
-4.9310e-05,0.0839766,0.0710312,0.00753125,-0.203125
-4.9300e-05,0.0825313,0.0670625,0.0063125,-0.2
-4.9290e-05,0.0840937,0.069125,0.00648438,-0.25
-4.9280e-05,0.0834375,0.0695312,0.00695313,-0.25
-4.9270e-05,0.0844219,0.0694687,0.00623438,-0.221094
-4.9260e-05,0.0842734,0.0667187,0.00760938,-0.221094
-4.9250e-05,0.0819844,0.0679063,0.00607813,-0.2375
-4.9240e-05,0.0835547,0.0657187,0.00664063,-0.271875
-4.9230e-05,0.0824141,0.0674375,0.00695313,-0.205469
-4.9220e-05,0.08175,0.068625,0.00665625,-0.199219
-4.9210e-05,0.0813203,0.069125,0.00671875,-0.260937
-4.9200e-05,0.0816484,0.0704375,0.00614063,-0.200781
-4.9190e-05,0.0819687,0.0689687,0.00678125,-0.20625
-4.9180e-05,0.0819141,0.0695312,0.00684375,-0.2125
-4.9170e-05,0.0822109,0.0684063,0.00698438,-0.19375
-4.9160e-05,0.0833281,0.0676875,0.00603125,-0.235937
-4.9150e-05,0.0825781,0.067,0.00628125,-0.241406
-4.9140e-05,0.0837344,0.0690938,0.00745313,-0.238281
-4.9130e-05,0.0828594,0.0666875,0.00621875,-0.272656
