Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.2,0.1,5
Vertical Position,-3.08,-1.58,-0.7,-0.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.0884766,0.072125,0.006625,-0.202344
-4.9990e-05,0.0869062,0.07425,0.00707813,-0.25
-4.9980e-05,0.086875,0.0742188,0.00667188,-0.200781
-4.9970e-05,0.0857734,0.0732812,0.00576563,-0.21875
-4.9960e-05,0.0871484,0.0730312,0.00575,-0.174219
-4.9950e-05,0.0862266,0.074375,0.00729688,-0.251562
-4.9940e-05,0.0857813,0.072125,0.00615625,-0.182812
-4.9930e-05,0.0873984,0.076875,0.00746875,-0.214844
-4.9920e-05,0.0866562,0.0750937,0.006125,-0.238281
-4.9910e-05,0.087625,0.0757812,0.00665625,-0.234375
-4.9900e-05,0.0872891,0.0724687,0.00685938,-0.242969
-4.9890e-05,0.0867891,0.074375,0.00654688,-0.161719
-4.9880e-05,0.0880781,0.0744688,0.00660938,-0.174219
-4.9870e-05,0.0875156,0.0727812,0.00835938,-0.241406
-4.9860e-05,0.0881562,0.0725625,0.00692188,-0.303125
-4.9850e-05,0.0869922,0.072,0.00740625,-0.211719
-4.9840e-05,0.0874609,0.0741875,0.0070625,-0.235156
-4.9830e-05,0.0885781,0.07425,0.00720313,-0.192187
-4.9820e-05,0.0871484,0.0707812,0.00629688,-0.19375
-4.9810e-05,0.0892656,0.076125,0.00703125,-0.235937
-4.9800e-05,0.0879375,0.0711875,0.00753125,-0.207812
-4.9790e-05,0.0881641,0.0757812,0.006875,-0.184375
-4.9780e-05,0.0890234,0.0712812,0.00625,-0.247656
-4.9770e-05,0.087875,0.0736563,0.00614063,-0.239062
-4.9760e-05,0.0887109,0.0729375,0.00598438,-0.182812
-4.9750e-05,0.087125,0.0728125,0.00660938,-0.209375
-4.9740e-05,0.0868828,0.0746563,0.00592188,-0.224219
-4.9730e-05,0.0870391,0.0737187,0.00651563,-0.2375
-4.9720e-05,0.0864062,0.0717187,0.00732813,-0.217187
-4.9710e-05,0.0866328,0.0732812,0.00625,-0.215625
-4.9700e-05,0.0858906,0.0740625,0.00579688,-0.213281
-4.9690e-05,0.0864766,0.0734687,0.00640625,-0.211719
-4.9680e-05,0.0858594,0.073375,0.00564063,-0.179688
-4.9670e-05,0.0860391,0.0724375,0.00617188,-0.230469
-4.9660e-05,0.0871719,0.0737187,0.00739063,-0.263281
-4.9650e-05,0.0866406,0.0735937,0.0056875,-0.217187
-4.9640e-05,0.0884141,0.0739687,0.00689063,-0.239062
-4.9630e-05,0.0874844,0.0721563,0.00685938,-0.186719
-4.9620e-05,0.0876328,0.070875,0.00570313,-0.233594
-4.9610e-05,0.0884609,0.0727187,0.00748438,-0.20625
-4.9600e-05,0.0871328,0.0720625,0.00610938,-0.227344
-4.9590e-05,0.0884453,0.0741875,0.00710938,-0.259375
-4.9580e-05,0.0881953,0.0735,0.00707813,-0.288281
-4.9570e-05,0.0880859,0.07575,0.00584375,-0.199219
-4.9560e-05,0.0884844,0.07525,0.00642188,-0.213281
-4.9550e-05,0.0883828,0.0743437,0.0063125,-0.189062
-4.9540e-05,0.0890156,0.073625,0.00629688,-0.246094
-4.9530e-05,0.0879922,0.0735937,0.00704688,-0.23125
-4.9520e-05,0.0882187,0.0744063,0.00775,-0.229687
-4.9510e-05,0.0889609,0.0715,0.00748438,-0.217969
-4.9500e-05,0.0873437,0.0725625,0.00528125,-0.184375
-4.9490e-05,0.0880547,0.0730937,0.00742188,-0.239844
-4.9480e-05,0.0861484,0.0739063,0.005625,-0.232031
-4.9470e-05,0.0875469,0.075125,0.0059375,-0.254687
-4.9460e-05,0.0864922,0.0718438,0.00634375,-0.201562
-4.9450e-05,0.0861797,0.0725625,0.00553125,-0.196875
-4.9440e-05,0.0879531,0.0739687,0.0061875,-0.242188
-4.9430e-05,0.0869297,0.0729375,0.00579688,-0.201562
-4.9420e-05,0.0884687,0.0748125,0.00603125,-0.214062
-4.9410e-05,0.0874609,0.0703438,0.00707813,-0.224219
-4.9400e-05,0.0885625,0.0740937,0.00732813,-0.235937
-4.9390e-05,0.0889922,0.0705625,0.00707813,-0.286719
-4.9380e-05,0.0884766,0.07325,0.00676563,-0.261719
-4.9370e-05,0.0893672,0.0729687,0.00645313,-0.190625
-4.9360e-05,0.0874141,0.073375,0.007625,-0.25625
-4.9350e-05,0.0880234,0.0717812,0.00710938,-0.154687
-4.9340e-05,0.08825,0.0733437,0.00782813,-0.242969
-4.9330e-05,0.0866641,0.071125,0.00659375,-0.296875
-4.9320e-05,0.0874141,0.0722187,0.00571875,-0.189844
-4.9310e-05,0.0874453,0.0708438,0.0068125,-0.205469
-4.9300e-05,0.0875703,0.0745937,0.0064375,-0.199219
-4.9290e-05,0.0881406,0.0727812,0.0065625,-0.248437
-4.9280e-05,0.0872266,0.0728125,0.00660938,-0.15625
-4.9270e-05,0.0885625,0.0737187,0.00704688,-0.233594
-4.9260e-05,0.088,0.0723437,0.00671875,-0.264062
-4.9250e-05,0.0883516,0.0742188,0.007375,-0.247656
-4.9240e-05,0.0885391,0.0722812,0.006625,-0.288281
-4.9230e-05,0.0884375,0.0731875,0.00653125,-0.217187
-4.9220e-05,0.0886016,0.074875,0.00710938,-0.220312
-4.9210e-05,0.0874453,0.0739063,0.00607813,-0.202344
-4.9200e-05,0.0885234,0.0745,0.00553125,-0.280469
-4.9190e-05,0.0877422,0.0724687,0.00634375,-0.258594
-4.9180e-05,0.0877422,0.072625,0.00553125,-0.238281
-4.9170e-05,0.0882187,0.076375,0.00671875,-0.260937
-4.9160e-05,0.0869922,0.075375,0.00567188,-0.232031
-4.9150e-05,0.0873594,0.074,0.00614063,-0.225
-4.9140e-05,0.0871172,0.0726875,0.00585938,-0.203906
-4.9130e-05,0.0866875,0.0728437,0.007125,-0.245312
