  +315	  +554	  +563	   +31	
  +318	  +534	  +560	   +42	
  +324	  +540	  +554	   +42	
  +329	  +531	  +568	   +42	
  +327	  +554	  +560	   +62	
  +315	  +554	  +551	   +31	
  +321	  +511	  +554	   +42	
  +303	  +655	  +540	   +34	
  +344	 +1247	  +683	   +42	
  +616	 +2076	 +1333	   +60	
  +876	 +2946	 +1853	   +45	
 +1128	 +3680	 +2505	   +51	
 +1371	 +4133	 +3065	   +45	
 +1565	 +4474	 +3608	   +25	
 +1733	 +4607	 +4056	   +39	
 +1797	 +4731	 +4335	   +88	
 +1869	 +4844	 +4605	   +45	
 +1918	 +4879	 +4766	   +34	
 +1913	 +4913	 +4869	   +65	
 +1930	 +4884	 +4930	   +57	
 +1918	 +4861	 +4941	   +45	
 +1904	 +4867	 +4993	   +34	
 +1892	 +4856	 +4944	   +54	
 +1863	 +4832	 +4918	   +45	
 +1857	 +4835	 +4895	   +48	
 +1843	 +4801	 +4835	   +54	
 +1834	 +4812	 +4801	   +45	
 +1834	 +4795	 +4766	   +42	
 +1823	 +4792	 +4766	   +34	
 +1826	 +4795	 +4732	   +51	
 +1805	 +4789	 +4686	   +37	
 +1817	 +4775	 +4686	   +51	
 +1814	 +4740	 +4657	   +25	
 +1808	 +4766	 +4654	   +42	
 +1817	 +4743	 +4645	   +42	
 +1805	 +4734	 +4631	   +39	
 +1817	 +4714	 +4654	   +17	
 +1803	 +4694	 +4625	   +42	
 +1803	 +4685	 +4631	   +57	
 +1800	 +4702	 +4599	   +65	
 +1797	 +4645	 +4614	   +19	
 +1791	 +4665	 +4579	   +51	
 +1785	 +4630	 +4588	   +60	
 +1779	 +4607	 +4582	   +54	
 +1779	 +4636	 +4562	   +48	
 +1774	 +4624	 +4539	   +34	
 +1779	 +4564	 +4542	   +57	
 +1774	 +4567	 +4536	   +68	
 +1771	 +4567	 +4513	   +42	
 +1759	 +4581	 +4499	   +57	
 +1756	 +4518	 +4496	   +65	
 +1762	 +4506	 +4485	   +57	
 +1753	 +4497	 +4479	   +60	
 +1753	 +4497	 +4441	   +60	
 +1756	 +4483	 +4433	   +45	
 +1742	 +4474	 +4438	   +34	
 +1745	 +4439	 +4424	   +37	
 +1736	 +4451	 +4398	   +45	
 +1739	 +4425	 +4395	   +48	
 +1727	 +4411	 +4381	   +77	
 +1727	 +4408	 +4390	   +48	
 +1727	 +4408	 +4355	   +57	
 +1716	 +4382	 +4352	   +34	
 +1719	 +4367	 +4344	   +42	
 +1710	 +4356	 +4321	   +48	
 +1707	 +4359	 +4301	   +51	
 +1710	 +4315	 +4315	   +68	
 +1704	 +4330	 +4278	   +62	
 +1704	 +4278	 +4306	   +51	
 +1698	 +4272	 +4275	   +39	
 +1698	 +4260	 +4275	   +74	
 +1693	 +4272	 +4235	   +45	
 +1693	 +4223	 +4217	   +39	
 +1687	 +4211	 +4209	   +34	
 +1675	 +4232	 +4214	   +45	
 +1678	 +4208	 +4203	   +45	
 +1675	 +4203	 +4200	   +54	
 +1666	 +4214	 +4157	   +17	
 +1669	 +4174	 +4143	   +42	
 +1669	 +4168	 +4151	   +28	
 +1669	 +4142	 +4157	   +62	
 +1658	 +4130	 +4148	   +45	
 +1655	 +4133	 +4125	   +39	
 +1658	 +4110	 +4117	   +57	
 +1652	 +4128	 +4117	   +65	
 +1643	 +4101	 +4074	   +65	
 +1640	 +4110	 +4048	   +57	
 +1638	 +4064	 +4042	   +25	
